name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amarawati,4/1/2023,36.7,25.6,30.9,34.4,25.6,29.6,9.1,27.3,0,0,0,,0,0,46.1,27,327.3,1007.9,47.7,22.9,320.6,27.6,10,10,2023-04-01T06:17:38,2023-04-01T18:34:51,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43169099999,remote"
Amarawati,4/2/2023,37.3,24.5,31.4,34.6,24.5,29.7,5.4,21,0,0,0,,0,0,24.8,21.6,342.5,1007.5,30.4,23.5,326.2,28.2,10,10,2023-04-02T06:16:53,2023-04-02T18:35:00,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43169099999,remote"
Amarawati,4/3/2023,37.3,24.4,31.1,34.7,24.4,29.6,6.9,23.5,0,0,0,,0,0,39.6,18.7,304.9,1007.5,23.7,24.1,324.6,27.9,10,10,2023-04-03T06:16:09,2023-04-03T18:35:09,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Amarawati,4/4/2023,37.7,24.6,31.8,35.2,24.6,30.2,6.9,22.3,0,0,0,,0,0,18.7,15.8,293.6,1008.2,41,23.5,324.6,28,10,10,2023-04-04T06:15:25,2023-04-04T18:35:18,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43169099999,remote"
Amarawati,4/5/2023,38.9,25.9,33.1,36.8,25.9,31.7,10.3,26.7,0,0,0,,0,0,38.9,28.8,87.6,1007.4,26.8,23.5,318.4,27.4,10,10,2023-04-05T06:14:41,2023-04-05T18:35:28,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43169099999,remote"
Amarawati,4/6/2023,38.3,27.6,32.2,37.3,28.2,32.6,16.5,41.4,0.4,100,16.67,rain,0,0,41.8,27,125.8,1008.4,47,22.9,272.3,23.6,10,30,2023-04-06T06:13:57,2023-04-06T18:35:37,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"43169099999,remote"
Amarawati,4/7/2023,36.8,27.1,31.9,35.8,27.9,32,15.8,40.4,0.1,100,4.17,rain,0,0,40.3,28.4,105.9,1010.1,66.3,22.9,218,18.9,10,30,2023-04-07T06:13:14,2023-04-07T18:35:47,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43169099999,remote"
Amarawati,4/8/2023,37.2,25.3,31.3,35.7,25.3,30.5,13.1,35.6,0,0,0,,0,0,34.9,18.4,71.4,1012.1,12.3,23.5,322,27.9,10,10,2023-04-08T06:12:30,2023-04-08T18:35:56,0.57,Clear,Clear conditions throughout the day.,clear-day,"43169099999,remote"
Amarawati,4/9/2023,37.4,25.3,31.5,34.9,25.3,30.2,10.3,29.8,0,0,0,,0,0,36,20.2,112.2,1012.4,0,22.9,326.8,28.1,10,10,2023-04-09T06:11:48,2023-04-09T18:36:06,0.61,Clear,Clear conditions throughout the day.,clear-day,"43169099999,remote"
Amarawati,4/10/2023,37.8,25.2,31.8,35.3,25.2,30.3,8,24.8,0,0,0,,0,0,38.5,20.9,114.5,1011.3,0,24.1,327.3,28.1,10,10,2023-04-10T06:11:05,2023-04-10T18:36:16,0.65,Clear,Clear conditions throughout the day.,clear-day,remote
Amarawati,4/11/2023,38.5,25.6,32.5,35.7,25.6,30.7,6.4,21.6,0,0,0,,0,0,37.4,19.4,119.7,1011.3,34.9,23.5,331.1,28.6,10,10,2023-04-11T06:10:23,2023-04-11T18:36:26,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43169099999,remote"
Amarawati,4/12/2023,39.8,26.3,33.2,37,26.3,31.4,6.1,19.6,0,0,0,,0,0,24.8,19.8,128.4,1010.3,6.4,24.1,329.1,28.2,10,10,2023-04-12T06:09:41,2023-04-12T18:36:37,0.72,Clear,Clear conditions throughout the day.,clear-day,remote
Amarawati,4/13/2023,39.6,27.4,33.8,37.3,26.6,32,7.7,20.7,0,0,0,,0,0,21.6,14.8,133.6,1009.8,46.9,23.5,315.8,27.2,10,10,2023-04-13T06:09:00,2023-04-13T18:36:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43169099999,remote"
Amarawati,4/14/2023,39.2,28.8,34.8,37.3,27.6,33,9.5,21.7,0,0,0,,0,0,23,16.9,148.2,1009.3,89.1,24.1,279.9,24.3,9,10,2023-04-14T06:08:19,2023-04-14T18:36:58,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Amarawati,4/15/2023,38.3,26.9,33,36.3,27.2,31.8,11.4,28.9,0,0,0,,0,0,52.6,38.2,21.9,1009.8,89.6,24.1,274.8,23.9,10,10,2023-04-15T06:07:39,2023-04-15T18:37:09,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Amarawati,4/16/2023,39.6,29.1,34.3,37.4,27.9,32.5,9,21.9,0,0,0,,0,0,14.8,13,55.4,1007.8,9.3,24.1,325.3,27.9,10,10,2023-04-16T06:06:59,2023-04-16T18:37:20,0.86,Clear,Clear conditions throughout the day.,clear-day,remote
Amarawati,4/17/2023,40.2,27.6,34.5,38.1,27.6,33,9.6,23.7,0,0,0,,0,0,34.6,21.2,153.6,1007.5,7.7,24.1,325.2,28,10,30,2023-04-17T06:06:19,2023-04-17T18:37:31,0.9,Clear,Clear conditions throughout the day.,clear-day,remote
Amarawati,4/18/2023,40.8,27.1,34.1,38.1,26.3,31.9,4.4,16.4,0,0,0,,0,0,37.1,19.8,134.4,1008.8,1.4,23.5,332.9,28.8,10,10,2023-04-18T06:05:41,2023-04-18T18:37:43,0.93,Clear,Clear conditions throughout the day.,clear-day,"43169099999,remote"
