name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kurnool,2023-04-01,38.9,25.6,32.3,38.7,25.6,31.3,10.9,28.9,0,0,0,,0,0,36.4,18.7,283.2,1006.6,39.9,18.4,321.6,27.9,10,10,2023-04-01T06:13:28,2023-04-01T18:30:34,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-02,39.4,26.2,32.3,37.7,26.2,31.8,14.1,37.9,0,0,0,,0,0,29.2,18.7,209,1006.4,33.9,18.4,320.9,27.9,10,10,2023-04-02T06:12:43,2023-04-02T18:30:43,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-03,39.4,27,32.4,39.2,27.8,32.2,14.1,37.4,0,0,0,,0,0,38.5,23,160.4,1006.6,39.3,18.4,323.1,28,10,30,2023-04-03T06:11:59,2023-04-03T18:30:51,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-04,39.4,27,32.8,42.5,28.2,33.7,16.8,42,0,0,0,,0,0,37.4,26.3,192.1,1007.3,51.7,18.4,311.7,27,10,30,2023-04-04T06:11:15,2023-04-04T18:31:00,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-05,40.7,27.5,32.9,42.6,28.7,33.6,16.8,42.4,0,0,0,,0,0,42.5,31.7,137.3,1007,16.9,18.4,320.2,27.7,10,60,2023-04-05T06:10:32,2023-04-05T18:31:09,0.47,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
Kurnool,2023-04-06,39.4,27.7,32.9,40.4,28.9,34.1,18,44.2,0.1,100,4.17,rain,0,0,35.6,22.3,120.5,1007.8,54.8,18.4,257.1,22,10,60,2023-04-06T06:09:48,2023-04-06T18:31:18,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43212099999,remote,43213099999"
Kurnool,2023-04-07,38.9,27.2,32.6,39.8,28.1,32.9,16.3,40.5,0,0,0,,0,0,41.8,28.1,126,1009.6,59.8,18.4,275.2,23.7,10,10,2023-04-07T06:09:05,2023-04-07T18:31:28,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-08,39.7,26,32,40.2,26,31.9,14.9,38.6,0,0,0,,0,0,38.9,26.6,110.6,1011.6,8.3,18.7,323.1,27.7,10,10,2023-04-08T06:08:22,2023-04-08T18:31:37,0.57,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
Kurnool,2023-04-09,38.4,25.3,31.7,38.9,25.3,30.9,12.7,34.3,0,0,0,,0,0,41.8,26.6,122,1012.1,0.8,18.4,325.4,28,10,10,2023-04-09T06:07:40,2023-04-09T18:31:47,0.61,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
Kurnool,2023-04-10,40.2,25.2,32.3,38.3,25.2,31.1,10.3,28.9,0,0,0,,0,0,45.7,26.6,128.1,1010.6,3.3,18.4,328,28.5,10,10,2023-04-10T06:06:58,2023-04-10T18:31:56,0.65,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
Kurnool,2023-04-11,40.9,25.4,32.9,39.7,25.4,31.4,8.7,24.3,0,0,0,,0,0,41.8,23.8,127,1010.6,22,20.1,329.3,28.5,10,10,2023-04-11T06:06:16,2023-04-11T18:32:06,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-12,41.9,25.4,33.8,39.5,25.4,32.1,8.2,22.7,0,0,0,,0,0,43.9,24.1,133.6,1009.4,4.9,18.4,329.6,28.5,10,10,2023-04-12T06:05:34,2023-04-12T18:32:16,0.72,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
Kurnool,2023-04-13,42.1,27.2,34.8,42.2,27.3,33.5,10.3,23.9,0,0,0,,0,0,35.6,16.2,129.3,1008.8,22.8,18.4,325.2,28.1,10,10,2023-04-13T06:04:53,2023-04-13T18:32:27,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-14,39.7,28.7,34.5,40.2,28.2,33.3,11.2,25.7,0,0,0,,0,0,37.4,21.6,171.4,1008.5,82.7,18.4,291.9,25.2,10,10,2023-04-14T06:04:13,2023-04-14T18:32:37,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-15,39.7,27.4,33.7,39.3,28,32.8,12.2,29,0,0,0,,0,0,39.2,26.6,60.2,1008.9,73,18.4,299.5,25.8,10,10,2023-04-15T06:03:33,2023-04-15T18:32:48,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43213099999"
Kurnool,2023-04-16,41.7,27.7,34.7,41.2,27.6,33.5,11.6,26.2,0,0,0,,0,0,35.3,16.6,117.9,1006.8,41.8,18.4,323.2,27.7,10,10,2023-04-16T06:02:53,2023-04-16T18:32:59,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43213099999"
Kurnool,2023-04-17,42.1,28.4,34.9,43.7,28,33.3,8.7,21.3,0,0,0,,0,0,47.2,29.2,142.6,1006.8,28.2,18.4,327.8,28.2,10,10,2023-04-17T06:02:14,2023-04-17T18:33:10,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-18,43.2,26.2,34.5,41.5,26.2,32.6,7.2,20.6,0,0,0,,0,0,48.2,27,132.7,1007.9,25.9,18.4,328.8,28.4,10,10,2023-04-18T06:01:35,2023-04-18T18:33:21,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-19,42.1,27.4,34.9,42.2,26.6,33.1,7.5,20,0,0,0,,0,0,45.7,24.8,133.6,1005.8,14.3,18.4,330.4,28.6,10,10,2023-04-19T06:00:57,2023-04-19T18:33:33,0.97,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
Kurnool,2023-04-20,41.2,28.8,34.7,41.3,28.2,33.7,11.3,26,0,0,0,,0,0,38.2,17.3,155.1,1003.5,9.9,18.4,328.5,28.4,10,10,2023-04-20T06:00:19,2023-04-20T18:33:44,0,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
Kurnool,2023-04-21,40.4,28.7,33.6,42.7,28.5,33.8,15.5,35.5,0,0,0,,0,0,43.6,29.9,117.1,1003.6,33,18.4,308,26.5,10,10,2023-04-21T05:59:42,2023-04-21T18:33:57,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-22,39.1,25.1,32.5,43.5,25.1,33.1,17.1,43.1,2,100,4.17,rain,0,0,39.2,25.9,155.9,1004.3,25,18.4,322.5,27.6,10,30,2023-04-22T05:59:06,2023-04-22T18:34:09,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43213099999"
Kurnool,2023-04-23,40.4,28.1,33.4,38.3,28.9,32.7,12.9,34,0,0,0,,0,0,40,26.3,217.2,1004.3,11.8,18.4,330.4,28.7,10,60,2023-04-23T05:58:30,2023-04-23T18:34:22,0.1,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
Kurnool,2023-04-24,39.2,26.7,32.6,39.4,26.7,33.5,17.4,44.5,0,0,0,,0,0,48.2,38.2,138.1,1006,22.5,18.4,314.4,27.1,10,60,2023-04-24T05:57:55,2023-04-24T18:34:35,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-25,38.7,26.1,31.6,41,26.1,33.6,20,53.1,1.8,100,20.83,rain,0,0,54,31.7,135.8,1007,49.8,18.3,237.8,20.3,10,60,2023-04-25T05:57:20,2023-04-25T18:34:48,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43212099999,remote,43213099999"
Kurnool,2023-04-26,34.7,22.1,29.5,35.8,22.1,29.8,18.1,53.9,62,100,8.33,rain,0,0,53.3,33.5,118.4,1008.2,25.6,18.7,320.4,27.5,10,10,2023-04-26T05:56:47,2023-04-26T18:35:01,0.2,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"43212099999,remote,43213099999"
Kurnool,2023-04-27,37,27,31.8,39.8,28.6,33.3,19,49.4,0.1,100,4.17,rain,0,0,45,31,128,1007.3,25.7,19.2,316.7,27.4,10,30,2023-04-27T05:56:13,2023-04-27T18:35:15,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43212099999,remote,43213099999"
Kurnool,2023-04-28,37.1,26.8,31.6,37.7,28.6,33.1,19.2,51.2,0,0,0,,0,0,45,32.8,119.7,1008,30.3,19,318,27.6,10,30,2023-04-28T05:55:41,2023-04-28T18:35:29,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43212099999,remote,43213099999"
Kurnool,2023-04-29,35.4,24.2,29.5,41.2,24.2,31.2,20.3,58.9,0.8,100,4.17,rain,0,0,28.1,27.7,59.6,1007.9,85.7,16.8,225.2,19.4,8,30,2023-04-29T05:55:09,2023-04-29T18:35:44,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43212099999,remote,43213099999"
Kurnool,2023-04-30,35.2,24.9,29.5,37.7,24.9,30.4,19.4,57,33,100,4.17,rain,0,0,37.8,28.1,163.2,1006.5,70,18,298.5,26,10,10,2023-04-30T05:54:38,2023-04-30T18:35:58,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43212099999,remote,43213099999"
Kurnool,2023-05-01,34.3,23.1,28.4,39,23.1,29.7,21,66.9,37,100,4.17,rain,0,0,41.8,32.8,143.6,1006.3,70.8,15.9,295.1,25.3,10,30,2023-05-01T05:54:08,2023-05-01T18:36:13,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43212099999,remote,43213099999"
Kurnool,2023-05-02,33.4,24.2,27.9,37.1,24.2,29.4,21.4,69,1,100,4.17,rain,0,0,43.2,28.4,130,1007.5,64.2,17.6,247.7,21.5,10,10,2023-05-02T05:53:38,2023-05-02T18:36:29,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43212099999,remote,43213099999"
Kurnool,2023-05-03,32.1,25.4,27.5,36.9,25.4,29.1,21.7,71.2,0.6,100,4.17,rain,0,0,33.8,20.2,143.2,1008.3,84.7,16.4,28.5,2.6,1,30,2023-05-03T05:53:10,2023-05-03T18:36:44,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43212099999,remote,43213099999"
Kurnool,2023-05-04,35.4,24.9,29.2,38.6,24.9,30.7,21,63.5,5,100,8.33,rain,0,0,33.5,23.4,103.8,1007.3,58.8,18.7,288.8,25.1,10,10,2023-05-04T05:52:42,2023-05-04T18:37:00,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43213099999"
