name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chitoor,2023-12-25,29.6,16.1,21.6,28.7,16.1,21.5,14.5,68.1,0,0,0,,0,0,6.8,7.2,59.9,1017,52.7,24.1,213.5,18.3,8,10,2023-12-25T06:32:17,2023-12-25T17:36:18,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
chitoor,2023-12-26,29.6,15.7,21.7,29.7,15.7,21.6,14.2,65.9,0,0,0,,0,0,5.8,6.8,103.4,1016.9,3.6,23.3,224,19.3,8,10,2023-12-26T06:32:44,2023-12-26T17:36:50,0.47,Clear,Clear conditions throughout the day.,clear-day,"remote,43136099999"
chitoor,2023-12-27,28.7,15.6,20.9,30.1,15.6,20.9,13.5,65.4,0,0,0,,0,0,6.1,6.1,87.8,1017.5,4.9,23.3,225.9,19.5,8,10,2023-12-27T06:33:11,2023-12-27T17:37:23,0.5,Clear,Clear conditions throughout the day.,clear-day,"remote,43136099999"
chitoor,2023-12-28,28.4,14.8,20.6,27.9,14.8,20.5,13.6,67.1,0,0,0,,0,0,7.6,7.9,108,1016.6,43.9,24.1,223.7,19.3,8,10,2023-12-28T06:33:36,2023-12-28T17:37:57,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
chitoor,2023-12-29,29.3,15.6,21.4,28.6,15.6,21.2,14.9,71.2,0,0,0,,0,0,7.6,7.6,320,1016.4,62.2,23.3,214.9,18.6,8,10,2023-12-29T06:34:01,2023-12-29T17:38:31,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43136099999"
chitoor,2023-12-30,29,16.1,21.4,28.5,16.1,21.3,15.2,71.9,0,0,0,,0,0,7.6,8.3,43.6,1015.9,8.6,23.3,223.6,19.2,8,10,2023-12-30T06:34:25,2023-12-30T17:39:05,0.6,Clear,Clear conditions throughout the day.,clear-day,"remote,43136099999"
chitoor,2023-12-31,28.1,16.1,21.3,28.2,16.1,21.3,16.2,75.4,0,0,0,,0,0,7.6,6.5,126.6,1015.5,13.7,23.3,224.1,19.2,8,10,2023-12-31T06:34:48,2023-12-31T17:39:40,0.64,Clear,Clear conditions throughout the day.,clear-day,"remote,43136099999"
chitoor,2024-01-01,28.7,16.4,21.5,29.8,16.4,21.5,16.3,75.6,0,0,0,,0,0,8.3,7.6,95.4,1015.4,21.9,23.3,222.8,19.2,8,10,2024-01-01T06:35:10,2024-01-01T17:40:16,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-02,30.2,15.8,21.7,29.3,15.8,21.5,15.2,71.5,0,0,0,,0,0,10.8,7.6,152.5,1014.9,21.3,23.2,222.5,19.2,8,10,2024-01-02T06:35:31,2024-01-02T17:40:52,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-03,29.9,15.9,21.7,29.2,15.9,21.6,15.6,73.1,0,0,0,,0,0,23.8,10.1,155.5,1014.5,16.2,23.1,219.8,19,8,10,2024-01-03T06:35:51,2024-01-03T17:41:28,0.73,Clear,Clear conditions throughout the day.,clear-day,"remote,43136099999"
chitoor,2024-01-04,29,15.5,21.4,28.5,15.5,21.3,15.6,73.4,0,0,0,,0,0,10.4,8.6,84.3,1014.5,39,23.1,223.5,19.5,8,10,2024-01-04T06:36:10,2024-01-04T17:42:04,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-05,29.8,16,21.6,30.6,16,21.6,14.5,67.4,0,0,0,,0,0,16.6,8.6,157.3,1014.2,29.3,23.3,225,19.5,8,10,2024-01-05T06:36:28,2024-01-05T17:42:41,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-06,31.7,15.4,21.8,29.8,15.4,21.5,12.3,60.4,0,0,0,,0,0,27,10.4,168.3,1014.6,24.5,23.5,228.1,19.7,8,10,2024-01-06T06:36:44,2024-01-06T17:43:18,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-07,30.8,15.4,21.7,29.3,15.4,21.4,12.2,59.8,0,0,0,,0,0,22.3,9.4,161.5,1015.3,13.7,24.1,225.6,19.5,8,10,2024-01-07T06:37:00,2024-01-07T17:43:55,0.86,Clear,Clear conditions throughout the day.,clear-day,remote
chitoor,2024-01-08,29.6,16.3,21.9,28.4,16.3,21.7,12,56.5,0,0,0,,0,0,8.3,6.8,159.2,1016.1,33.1,23.3,203.6,17.5,8,10,2024-01-08T06:37:15,2024-01-08T17:44:33,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-09,30.5,17.2,22.7,32.2,17.2,22.6,13.6,58.8,0,0,0,,0,0,10.1,6.8,148.9,1015.8,37.4,23.5,192.8,16.8,8,10,2024-01-09T06:37:28,2024-01-09T17:45:10,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-10,32.1,17.6,23.3,30.8,17.6,23.1,13.2,56,0,0,0,,0,0,12.6,8.3,101.8,1014.9,68.6,23.3,207.5,17.9,7,10,2024-01-10T06:37:41,2024-01-10T17:45:48,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-11,31.6,18,24.2,30.5,18,24,13.5,53.6,0,0,0,,0,0,7.2,6.8,168.7,1015.1,62.6,23.3,172.9,14.9,7,10,2024-01-11T06:37:52,2024-01-11T17:46:25,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43136099999"
chitoor,2024-01-12,30.7,18.1,23.8,30.3,18.1,23.7,15.1,60.7,0,0,0,,0,0,9.4,9,205.3,1014.7,8.9,23.3,225.6,19.4,8,10,2024-01-12T06:38:02,2024-01-12T17:47:03,0.03,Clear,Clear conditions throughout the day.,clear-day,"remote,43136099999"
