name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tirupati,2023-04-01,36.2,23.5,28.1,40.8,23.5,29.4,20.6,65.3,9.9,100,25,rain,0,0,20.5,17.3,204.4,1008.6,60.6,19,225.7,19.6,10,10,2023-04-01T06:08:40,2023-04-01T18:24:13,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43277099999,43275099999"
tirupati,2023-04-02,35.9,23.6,27.9,41.9,23.6,29.3,20.9,67.3,3.4,100,25,rain,0,0,15.5,18.4,196.5,1008.3,39.7,19.4,235.8,20.6,10,30,2023-04-02T06:07:59,2023-04-02T18:24:18,0.37,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"remote,43277099999,43275099999"
tirupati,2023-04-03,37.1,24,28.7,41.7,24,30.4,21.4,67.3,1.6,100,33.33,rain,0,0,17.3,19.2,190.5,1008.2,39.3,19.9,242.3,20.9,10,60,2023-04-03T06:07:19,2023-04-03T18:24:23,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43277099999,43275099999"
tirupati,2023-04-04,36.6,24,30,39.6,24,31.2,20.1,59.3,0.2,100,4.17,rain,0,0,24.5,18.4,190.9,1009,35.6,20,300,25.9,10,30,2023-04-04T06:06:39,2023-04-04T18:24:29,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,43277099999,43275099999"
tirupati,2023-04-05,38.2,25,29.8,42.4,25,31.6,20.7,60.3,5,100,20.83,rain,0,0,24.5,16.2,185.9,1008.9,45.9,19.9,272.5,23.5,10,30,2023-04-05T06:05:59,2023-04-05T18:24:34,0.47,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"remote,43277099999,43275099999"
tirupati,2023-04-06,36,25.7,30,41.2,25.7,31.8,20.8,60.8,0,0,0,,0,0,17.3,19.4,176.6,1009.5,49.3,20,317,27.4,10,60,2023-04-06T06:05:19,2023-04-06T18:24:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43277099999,43275099999"
tirupati,2023-04-07,36.4,24.1,29.4,39.6,24.1,30.3,19.5,58.7,0,0,0,,0,0,23.4,24.1,136.3,1011.4,18.8,20,322.6,27.8,10,10,2023-04-07T06:04:40,2023-04-07T18:24:45,0.54,Clear,Clear conditions throughout the day.,clear-day,"remote,43277099999,43275099999"
tirupati,2023-04-08,36,23.4,28.6,37,23.4,29.1,18.5,58.5,0,0,0,,0,0,27.7,25.9,86.7,1013.4,10.2,20,323.6,28,10,10,2023-04-08T06:04:01,2023-04-08T18:24:50,0.57,Clear,Clear conditions throughout the day.,clear-day,"remote,43277099999,43275099999"
tirupati,2023-04-09,35,22.5,28,37.8,22.5,28.5,18.9,61.7,0,0,0,,0,0,25.2,23.4,78.8,1013.9,11.5,20,322.7,27.8,10,10,2023-04-09T06:03:22,2023-04-09T18:24:56,0.61,Clear,Clear conditions throughout the day.,clear-day,"remote,43277099999,43275099999"
tirupati,2023-04-10,36.4,22.7,28.6,40.4,22.7,29,18.1,58.8,0,0,0,,0,0,20.9,23.4,91.6,1012.3,8.4,20,327.3,28.3,10,30,2023-04-10T06:02:44,2023-04-10T18:25:02,0.65,Clear,Clear conditions throughout the day.,clear-day,"remote,43277099999,43275099999"
