name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vishakhapatnam,2023-04-01,32.1,27.1,29,38.2,30.2,33,23.6,73.4,0,0,0,rain,0,0,34.9,18.4,223.7,1008.9,75.6,4.5,283.6,24.7,10,30,2023-04-01T05:51:52,2023-04-01T18:10:19,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999"
vishakhapatnam,2023-04-02,33.1,24.1,28.2,38.5,24.1,31,23.4,76.5,0,0,0,,0,0,33.8,20.5,223.4,1008.6,53.8,4.4,301.7,26.3,10,30,2023-04-02T05:51:05,2023-04-02T18:10:32,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999"
vishakhapatnam,2023-04-03,34.1,25.1,29.2,41.2,25.1,33.7,24.7,77.7,0,0,0,,0,0,33.1,18.4,228.9,1008.5,47.5,5.6,297.3,25.9,10,75,2023-04-03T05:50:17,2023-04-03T18:10:44,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999,remote"
vishakhapatnam,2023-04-04,33.1,26.1,29.5,40.4,26.1,35,25.3,79.7,0,0,0,rain,0,0,38.9,20.5,225.3,1009.2,56.6,4.6,256.7,22.2,10,60,2023-04-04T05:49:30,2023-04-04T18:10:56,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999"
vishakhapatnam,2023-04-05,33.1,27.1,29.6,41,31.3,35.2,25.2,78.3,0,0,0,rain,0,0,29.2,20.5,227.6,1009,45.6,5.1,278,24,10,60,2023-04-05T05:48:43,2023-04-05T18:11:08,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999"
vishakhapatnam,2023-04-06,34.1,26.9,29.6,41.9,30.9,35.2,25.2,78.8,0,0,0,,0,0,29.2,18.4,227.2,1010.1,44.9,5.3,304.8,26.3,10,60,2023-04-06T05:47:56,2023-04-06T18:11:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999,remote"
vishakhapatnam,2023-04-07,33.8,24.1,28.9,43.2,24.1,32.8,23.1,71.6,0,0,0,,0,0,18.7,16.6,200.2,1011.9,36.4,4.5,315.2,27.1,10,30,2023-04-07T05:47:10,2023-04-07T18:11:33,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999"
vishakhapatnam,2023-04-08,34.1,26.1,29.4,44.6,26.1,33.8,25.2,79.9,0,0,0,,0,0,20.2,16.6,216.8,1013.4,39,4.1,319,27.5,10,30,2023-04-08T05:46:24,2023-04-08T18:11:46,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999"
vishakhapatnam,2023-04-09,36.1,24.1,29.8,37.8,24.1,31.6,21.5,65.8,0,0,0,,0,0,19.4,18.4,230.1,1013.4,22.5,4.9,319.3,27.6,10,10,2023-04-09T05:45:38,2023-04-09T18:11:59,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999,remote"
vishakhapatnam,2023-04-10,37.1,26.1,30.8,44.3,26.1,33.9,22.3,63.7,0,0,0,,0,0,22.7,16.6,230.8,1011.5,22.6,4,318.8,27.5,10,10,2023-04-10T05:44:52,2023-04-10T18:12:12,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999"
vishakhapatnam,2023-04-11,38.1,25.1,31.3,43.2,25.1,33.8,20.5,54.6,0,0,0,,0,0,27.7,19.4,219.4,1010.9,14.1,13.1,318.8,27.5,10,10,2023-04-11T05:44:07,2023-04-11T18:12:25,0.68,Clear,Clear conditions throughout the day.,clear-day,"43149099999,43150099999,remote"
vishakhapatnam,2023-04-12,35.9,27.9,31.1,42.1,29.3,34,21,56.4,0,0,0,,0,0,25.9,20.5,205.4,1010.2,7.9,18.2,320,27.6,10,30,2023-04-12T05:43:23,2023-04-12T18:12:38,0.72,Clear,Clear conditions throughout the day.,clear-day,"VWSM,43150099999,remote"
vishakhapatnam,2023-04-13,35.7,27.6,31.1,43.9,28.6,34.1,20.7,55.7,0,0,0,,0,0,29.2,22.3,209.4,1009.6,5.2,17.4,323.5,27.8,10,10,2023-04-13T05:42:38,2023-04-13T18:12:52,0.75,Clear,Clear conditions throughout the day.,clear-day,"43150099999,remote"
vishakhapatnam,2023-04-14,36.7,27.9,31.4,42.1,29.3,33.8,20,52.8,0,0,0,,0,0,32,24.1,212.3,1008.9,14.2,18.2,322.8,27.8,10,15,2023-04-14T05:41:54,2023-04-14T18:13:06,0.79,Clear,Clear conditions throughout the day.,clear-day,"43150099999,remote"
vishakhapatnam,2023-04-15,37,27.8,31.8,43.3,29,34.6,20.4,53.2,0,0,0,,0,0,25.9,20.2,213.9,1008,71,18.2,284.2,24.6,9,30,2023-04-15T05:41:11,2023-04-15T18:13:20,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43150099999,remote"
vishakhapatnam,2023-04-16,35.7,28.7,31.5,43.6,31.8,35.9,22.6,60.9,0,0,0,,0,0,30.6,24.8,201.7,1007.1,66,19,310.2,26.7,10,60,2023-04-16T05:40:28,2023-04-16T18:13:34,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43150099999,remote"
vishakhapatnam,2023-04-17,35.7,28,31.2,42.1,29.9,34.6,21.6,58.4,0,0,0,,0,0,32.8,25.9,209,1007.9,30.6,18.2,322.3,27.9,10,30,2023-04-17T05:39:46,2023-04-17T18:13:48,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43150099999,remote"
vishakhapatnam,2023-04-18,37.1,27.8,31.6,43.1,28.5,35.2,21.1,56,0,0,0,,0,0,33.1,23,221.4,1008.7,9.7,12.5,324.1,27.9,10,30,2023-04-18T05:39:04,2023-04-18T18:14:02,0.93,Clear,Clear conditions throughout the day.,clear-day,"43149099999,43150099999,remote"
