name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bhilai,2023-04-01,33.1,20.1,27.1,32.3,20.1,27.2,17,56.5,0,0,0,,0,0,36.4,13,162.1,1008.8,40.4,7.9,309.8,26.7,10,10,2023-04-01T05:58:07,2023-04-01T18:19:12,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-02,35.2,22.6,29.3,33.5,22.6,28.7,13.6,41.9,0,0,0,,0,0,22.3,22.3,262.3,1008,14.7,7.8,303.7,26.4,10,10,2023-04-02T05:57:13,2023-04-02T18:19:30,0.37,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-03,36.1,23.9,30.2,35.1,23.9,29.8,13.4,38.5,0,0,0,,0,0,19.4,16.6,208,1007.8,31.6,8.4,315.1,27.3,10,10,2023-04-03T05:56:19,2023-04-03T18:19:49,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-04,36.4,25.1,30.5,37.3,25.1,30.8,15.3,42.4,0,0,0,,0,0,39.6,24.1,222.6,1007.8,20.1,8.4,312.6,27,10,10,2023-04-04T05:55:26,2023-04-04T18:20:07,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-05,36.1,25.1,30.8,37.4,25.1,30.8,15.3,42.2,0.1,100,4.17,rain,0,0,26.6,13,257.7,1008.8,34.5,7.5,299.3,25.9,10,10,2023-04-05T05:54:32,2023-04-05T18:20:26,0.47,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-06,35.1,24.1,30.7,37.8,24.1,30.7,15.7,43.1,0.2,100,8.33,rain,0,0,21.6,13,181.4,1010.2,44.5,7.8,292.1,25.2,10,10,2023-04-06T05:53:39,2023-04-06T18:20:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-07,37.1,24.1,30.3,37.7,24.1,30.5,16.4,45.8,0,0,0,,0,0,32.8,27.7,253.9,1012.2,36.9,8.5,315,27.1,10,10,2023-04-07T05:52:46,2023-04-07T18:21:04,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-08,32.1,23.9,28.2,32.5,23.9,27.9,14.5,44.2,0.2,100,8.33,rain,0,0,19.8,24.1,295.5,1014.7,60.5,8.5,129.3,11.1,6,10,2023-04-08T05:51:54,2023-04-08T18:21:23,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-09,36.4,23.1,30,36.3,23.1,29.8,15.2,42.8,0.1,100,4.17,rain,0,0,25.2,20.5,233.9,1014.2,49,9.2,291,25,10,10,2023-04-09T05:51:02,2023-04-09T18:21:42,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
bhilai,2023-04-10,36.2,25.1,30.4,36.9,25.1,30.4,15.6,42.1,0,0,0,,0,0,28.1,22.3,266.2,1012.5,42,7.7,300.7,26,10,10,2023-04-10T05:50:10,2023-04-10T18:22:01,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
