name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bilaspur,2023-04-01,33.8,21.6,27.6,32.8,21.6,27,12.6,43.3,0.6,100,12.5,rain,0,0,31.3,21.2,106.2,1008.5,33.9,20.1,302.3,26,10,10,2023-04-01T05:54:45,2023-04-01T18:16:29,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,42782099999"
bilaspur,2023-04-02,35.3,23.3,29.4,33.6,23.3,28.5,9.2,30.3,0,0,0,,0,0,28.8,16.2,329.2,1007.5,19,20.8,311.1,26.8,10,10,2023-04-02T05:53:50,2023-04-02T18:16:50,0.37,Clear,Clear conditions throughout the day.,clear-day,"remote,42782099999"
bilaspur,2023-04-03,36.3,24.7,30.5,34.6,24.7,29.3,7.1,24.3,0,0,0,,0,0,19.8,12.6,65.4,1007.3,28.8,20.8,311.3,26.9,10,10,2023-04-03T05:52:54,2023-04-03T18:17:10,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
bilaspur,2023-04-04,38.5,26.5,32.2,36.5,26.3,30.9,8.2,23.6,0,0,0,,0,0,34.2,18.4,280.1,1006.9,32.2,20.8,300.8,25.7,10,10,2023-04-04T05:51:59,2023-04-04T18:17:30,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
bilaspur,2023-04-05,36.6,25.6,30.8,35.8,25.6,29.7,9.9,28.2,0,0,0,,0,0,28.4,21.6,9.5,1008.4,21,20.8,299.2,25.7,10,10,2023-04-05T05:51:04,2023-04-05T18:17:50,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
bilaspur,2023-04-06,37.3,25.6,31.4,35.5,25.6,30.3,9.1,26.3,0.1,100,4.17,rain,0,0,16.2,12.2,101.2,1009.6,20.3,20.7,302.3,26,10,10,2023-04-06T05:50:09,2023-04-06T18:18:11,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,42782099999"
bilaspur,2023-04-07,38.6,25.7,32.1,37.7,25.7,30.7,7.3,22.7,0,0,0,,0,0,25.9,16.2,81.3,1011.1,18.9,20.8,315,27.3,10,10,2023-04-07T05:49:15,2023-04-07T18:18:31,0.54,Clear,Clear conditions throughout the day.,clear-day,"remote,42782099999"
bilaspur,2023-04-08,33.8,24.1,28.6,31.5,24.1,27.7,10.4,34.3,0.1,100,4.17,rain,0,0,29.2,27.7,313.7,1014,86.8,20.8,139,12.1,7,10,2023-04-08T05:48:21,2023-04-08T18:18:52,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,42782099999"
bilaspur,2023-04-09,37.1,24.9,30.4,35.5,24.9,29.6,10.9,31.9,0,0,0,,0,0,18,10.8,297.2,1013.4,60.3,20.8,297.8,25.7,10,10,2023-04-09T05:47:27,2023-04-09T18:19:13,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
bilaspur,2023-04-10,38.5,25.2,32.2,36.2,25.2,30.9,9.9,27.1,0,0,0,,0,0,17.6,14.4,314,1011.4,29.5,20.8,314,27.1,10,10,2023-04-10T05:46:34,2023-04-10T18:19:34,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
