name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
durg,2023-04-01,33.1,20.1,27.1,32.4,20.1,27.2,16.9,56.2,0,0,0,,0,0,34.9,16.2,176.7,1008.7,37.9,7.9,308.6,26.5,10,10,2023-04-01T05:58:29,2023-04-01T18:19:33,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-02,35.2,22.5,29.3,33.5,22.5,28.7,13.8,42.3,0,0,0,,0,0,25.6,22.3,261.1,1008.1,14.3,7.8,307.3,26.7,10,10,2023-04-02T05:57:35,2023-04-02T18:19:51,0.37,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-03,36.1,23.9,30.2,35.1,23.9,29.8,13.3,38.5,0,0,0,,0,0,23,16.6,191.3,1007.7,30,8.4,311.3,27.1,10,10,2023-04-03T05:56:41,2023-04-03T18:20:10,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-04,36.4,25.1,30.5,37.3,25.1,30.7,15.6,43.2,0,0,0,,0,0,40,24.1,224.6,1007.8,20.6,8.4,313.3,27.2,10,10,2023-04-04T05:55:48,2023-04-04T18:20:28,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-05,36.1,25.1,30.9,39.2,25.1,30.9,15.6,42.9,0,0,0,,0,0,25.6,13,255.8,1008.8,33.8,7.5,294.5,25.5,10,10,2023-04-05T05:54:55,2023-04-05T18:20:47,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-06,35.1,24.1,30.7,40,24.1,30.9,16,43.9,0.2,100,8.33,rain,0,0,18.4,13,179,1010.2,47,7.8,285.5,24.7,9,10,2023-04-06T05:54:01,2023-04-06T18:21:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-07,37.1,24.1,30.2,39.1,24.1,30.5,16.5,46.3,0,0,0,,0,0,35.6,27.7,256.1,1012.2,36.8,8.5,315.4,27.1,10,10,2023-04-07T05:53:09,2023-04-07T18:21:25,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-08,32.1,23.9,28.4,33.7,23.9,28,14.4,43.8,0.3,100,12.5,rain,0,0,21.6,24.1,296,1014.7,64.5,8.5,86,7.5,3,10,2023-04-08T05:52:16,2023-04-08T18:21:44,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-09,36.4,23.1,29.9,36.9,23.1,29.8,15.3,43.5,0.2,100,4.17,rain,0,0,26.6,20.5,227.6,1014.2,51.3,9.2,297,25.7,10,10,2023-04-09T05:51:24,2023-04-09T18:22:03,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-10,36.2,25.1,30.4,36.8,25.1,30.4,15.8,42.7,0,0,0,,0,0,25.2,22.3,259.5,1012.6,43.6,7.7,304.1,26.3,10,10,2023-04-10T05:50:33,2023-04-10T18:22:22,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-11,39.1,25.1,32.5,38.1,25.1,32.1,13.8,35.1,0,0,0,,0,0,20.5,13,230.1,1011.6,8.6,9.3,298.3,25.9,10,10,2023-04-11T05:49:41,2023-04-11T18:22:41,0.68,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-12,40.2,25.1,33.2,39.2,25.1,32.2,10.8,28.9,0,0,0,,0,0,17.3,13,126.4,1010.7,0.3,8.5,324.3,28,10,10,2023-04-12T05:48:50,2023-04-12T18:23:01,0.72,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-13,40.9,26.1,33.6,41.3,26.1,33.5,13.9,32.7,0,0,0,,0,0,19.8,22.3,233.7,1009.5,27.5,7.6,301.4,26.2,10,10,2023-04-13T05:48:00,2023-04-13T18:23:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-14,41.1,27.8,34.3,41.8,28.6,34.1,13.8,32,0,0,0,,0,0,39.6,18.4,254,1008.7,32.2,7.4,307,26.7,10,10,2023-04-14T05:47:10,2023-04-14T18:23:40,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-15,39.4,27.1,33.7,41.5,27,32.8,12.2,28,0,0,0,,0,0,26.6,22.3,277.3,1009.4,55,9.2,259.9,22.5,9,10,2023-04-15T05:46:20,2023-04-15T18:24:00,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-16,40.1,25.1,34.2,41.8,25.1,33.2,11.4,27.4,0,0,0,,0,0,17.6,13,265.5,1007.7,27.1,11.7,317.6,27.6,10,10,2023-04-16T05:45:32,2023-04-16T18:24:21,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-17,41.6,27.1,34.6,42.9,27.5,33.7,12.3,28.9,0,0,0,,0,0,14,18.4,255.5,1007.9,19,8.6,321.7,27.6,10,10,2023-04-17T05:44:43,2023-04-17T18:24:41,0.9,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
durg,2023-04-18,42.1,27.9,35.4,42.1,27.9,34.1,10.6,25.1,0,0,0,,0,0,16.6,20.5,263.9,1008.6,23.5,8.6,320.8,27.6,10,10,2023-04-18T05:43:55,2023-04-18T18:25:01,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
