name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
korba,2023-04-01,33.8,21.4,27.2,32.8,21.4,26.7,12.7,44.6,0.3,100,8.33,rain,0,0,33.8,25.6,253.4,1008.7,44.6,20.5,283.3,24.3,10,10,2023-04-01T05:52:21,2023-04-01T18:14:19,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,42782099999"
korba,2023-04-02,34.6,22.1,28.5,33.6,22.1,27.7,9.6,32.5,0,0,0,,0,0,24.8,13.7,347.5,1007.7,15.9,20.8,280.3,24.1,10,10,2023-04-02T05:51:25,2023-04-02T18:14:39,0.37,Clear,Clear conditions throughout the day.,clear-day,"remote,42782099999"
korba,2023-04-03,36.2,23,29.8,34.6,23,28.6,7,25.4,0,0,0,,0,0,20.5,16.2,251,1007.5,41.5,20.8,302.6,26.3,10,10,2023-04-03T05:50:29,2023-04-03T18:15:00,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
korba,2023-04-04,38.2,24.5,31,36.5,24.5,30,8.2,25.2,0,0,0,,0,0,24.5,19.8,315,1007.3,29.1,20.8,267.8,23.2,10,10,2023-04-04T05:49:33,2023-04-04T18:15:21,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
korba,2023-04-05,36.5,24.2,30.1,35.8,24.2,29.1,9.4,28.6,0,0,0,,0,0,27.4,13,352.1,1008.6,20.1,20.8,291.3,25.2,10,10,2023-04-05T05:48:38,2023-04-05T18:15:42,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,42782099999"
korba,2023-04-06,36.9,24.3,30.7,35.5,24.3,29.6,8.2,26.1,0,0,0,,0,0,19.4,14.4,354.3,1009.7,16.4,20.8,312,26.9,10,10,2023-04-06T05:47:42,2023-04-06T18:16:03,0.5,Clear,Clear conditions throughout the day.,clear-day,"remote,42782099999"
korba,2023-04-07,38.5,24.5,31.3,37.7,24.5,30,6.3,22.5,0,0,0,,0,0,18.7,14.4,34.3,1011.5,19.2,20.8,315.3,27.1,10,10,2023-04-07T05:46:47,2023-04-07T18:16:24,0.54,Clear,Clear conditions throughout the day.,clear-day,"remote,42782099999"
korba,2023-04-08,36.9,24.1,28.9,34.4,24.1,28.1,8.3,30.1,0,0,0,,0,0,37.4,34.2,327.3,1013.8,82.8,20.8,272.2,23.6,10,10,2023-04-08T05:45:53,2023-04-08T18:16:45,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
korba,2023-04-09,37.2,24.1,30,35.5,24.1,29.2,11,32.9,0.1,100,4.17,rain,0,0,18.7,17.6,290.6,1013.3,57.3,20.8,288,24.9,10,10,2023-04-09T05:44:59,2023-04-09T18:17:06,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,42782099999"
korba,2023-04-10,38.6,25.2,31.5,36.2,25.2,30.3,9,26.5,0,0,0,,0,0,19.4,19.1,317.4,1011.4,37.6,20.8,306.6,26.3,10,10,2023-04-10T05:44:05,2023-04-10T18:17:28,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42782099999"
