name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
raipur,2023-04-01,33.1,20.1,27.1,32.3,20.1,27.1,16.9,56.4,0.2,100,8.33,rain,0,0,34.6,13,146.7,1008.7,40.5,7.8,309.9,27,10,10,2023-04-01T05:57:06,2023-04-01T18:18:11,0.34,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-02,35.3,22.8,29.5,33.7,22.8,28.9,13.5,41,0,0,0,,0,0,22.3,22.3,251.9,1007.9,16.1,7.7,310.9,27,10,10,2023-04-02T05:56:11,2023-04-02T18:18:30,0.37,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-03,36.1,23.9,30.3,35.1,23.9,29.9,13.2,37.9,0,0,0,,0,0,19.4,16.6,213.3,1007.7,28.6,8.3,316.8,27.3,10,10,2023-04-03T05:55:18,2023-04-03T18:18:48,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-04,36.1,25.1,30.7,37.3,25.1,31,15.3,42,0,0,0,,0,0,35.6,24.1,220.6,1007.7,20.2,8.3,311.9,26.9,10,10,2023-04-04T05:54:24,2023-04-04T18:19:07,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-05,36.1,25.1,31,35.2,25.1,30.7,15,41,0,0,0,,0,0,22.7,13,268.3,1008.7,29.9,7.4,304.7,26.3,10,10,2023-04-05T05:53:30,2023-04-05T18:19:26,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-06,35.1,24.1,30.8,35,24.1,30.6,15.3,41.9,0.1,100,4.17,rain,0,0,19.8,13,160.1,1010.1,44,7.8,298.1,25.6,10,10,2023-04-06T05:52:37,2023-04-06T18:19:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-07,37.1,24.1,30.4,38.7,24.1,30.4,15.9,44.5,0,0,0,,0,0,28.8,27.7,240.8,1012.1,37.4,8.4,313.3,26.9,10,10,2023-04-07T05:51:44,2023-04-07T18:20:04,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-08,32.1,23.9,28.2,31.3,23.9,27.8,14.3,43.7,0.1,100,4.17,rain,0,0,26.6,24.1,299.5,1014.6,65.5,8.4,213.1,18.4,9,10,2023-04-08T05:50:52,2023-04-08T18:20:23,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-09,36.6,23.1,30.2,36.5,23.1,30.1,15,41.7,0,0,0,,0,0,16.2,20.5,232.5,1014.1,51.7,9.2,295.2,25.2,10,10,2023-04-09T05:50:00,2023-04-09T18:20:42,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
raipur,2023-04-10,36.3,25.1,30.6,37.1,25.1,30.6,15.6,41.6,0,0,0,,0,0,22.7,22.3,263.3,1012.4,38.3,7.6,299.8,25.8,10,10,2023-04-10T05:49:08,2023-04-10T18:21:01,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
