name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
faridabad,2023-04-01,28,17,21,27.8,17,21,16.8,79.5,3.416,100,4.17,rain,0,0,24.5,13,119.8,1009.8,55.3,2.6,228,19.7,9,10,2023-04-01T06:11:30,2023-04-01T18:38:28,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
faridabad,2023-04-02,29.1,17.5,23.4,28.8,17.5,23.4,16.1,67,0,0,0,,0,0,31.7,18.4,264.6,1008.7,31.1,2.9,266.4,23,9,10,2023-04-02T06:10:22,2023-04-02T18:39:01,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-03,30.8,19.3,24.8,30.4,19.3,24.7,15.6,58.8,0,0,0,,0,0,46.4,14.8,37.3,1007.3,17.6,2.9,271,23.5,9,10,2023-04-03T06:09:13,2023-04-03T18:39:34,0.41,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-04,30,19.1,24.6,28.9,19.1,24.3,14.4,56.5,9.35,100,8.33,rain,0,0,28.1,18.4,298.8,1009.8,34.3,3.6,275.6,24,9,10,2023-04-04T06:08:06,2023-04-04T18:40:07,0.44,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-05,32,18.8,25.2,29.9,18.8,24.7,10.9,45.4,0,0,0,,0,0,24.8,14.8,294.8,1010.4,2.3,3.1,286.1,24.7,9,10,2023-04-05T06:06:58,2023-04-05T18:40:40,0.47,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-06,32,19.4,26,30.2,19.4,25.3,8.3,35.8,0,0,0,,0,0,31.7,14.8,313.3,1012.6,32.7,3.6,284.3,24.3,9,10,2023-04-06T06:05:51,2023-04-06T18:41:13,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-07,32.7,19.4,26.2,30.4,19.4,25.4,6.5,32.8,0,0,0,,0,0,37.8,16.6,289.9,1014.3,0,3.5,294.1,25.3,10,10,2023-04-07T06:04:44,2023-04-07T18:41:46,0.54,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
faridabad,2023-04-08,33.1,19,26.5,30.8,19,25.6,5.3,28.4,0,0,0,,0,0,24.8,14.8,282,1014.8,2.8,3.3,295.2,25.3,10,10,2023-04-08T06:03:38,2023-04-08T18:42:19,0.57,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
faridabad,2023-04-09,35,19.4,27.5,32.3,19.4,26.5,5.8,29.5,0,0,0,,0,0,20.5,14.8,287.8,1014.7,0,3.1,295,25.6,10,10,2023-04-09T06:02:32,2023-04-09T18:42:52,0.61,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-10,34,19.4,27.3,31.6,19.4,26.3,5.9,28.8,0,0,0,,0,0,33.5,14.8,274.7,1012.8,23.2,3.2,287.3,24.8,10,10,2023-04-10T06:01:26,2023-04-10T18:43:25,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-11,36.1,20.4,28.6,34,20.4,27.5,7.5,29.4,0,0,0,,0,0,35.3,16.6,279.6,1012.1,16.1,3.2,289,25.1,9,10,2023-04-11T06:00:21,2023-04-11T18:43:58,0.68,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-12,36,23.9,29.7,33.7,23.9,28.6,9.5,30.4,0,0,0,,0,0,38.9,18.4,283.4,1011.5,56.7,3.5,286.5,24.7,9,10,2023-04-12T05:59:16,2023-04-12T18:44:32,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-13,38,22.4,30.7,35.2,22.4,29.3,7.8,27.2,0,0,0,,0,0,26.3,14.8,274.3,1009.6,30.7,5,289,25,9,10,2023-04-13T05:58:12,2023-04-13T18:45:05,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,remote"
faridabad,2023-04-14,38.4,23.7,31.1,35.7,23.7,29.6,6,24.1,0,0,0,,0,0,27,16.6,274.4,1009,27.2,3.3,292.5,25.3,10,10,2023-04-14T05:57:08,2023-04-14T18:45:39,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-15,40.1,24.3,32.4,37.4,24.3,30.8,6.6,23,0,0,0,,0,0,31.7,9.9,236.9,1008.2,5.8,3.4,299.6,25.7,10,10,2023-04-15T05:56:05,2023-04-15T18:46:12,0.82,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-16,40,24.8,32.9,37.6,24.8,31.5,8.9,24.9,0,0,0,,0,0,37.1,14.8,244.7,1007.1,47.1,4.8,287.6,24.7,9,10,2023-04-16T05:55:02,2023-04-16T18:46:46,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD,remote"
faridabad,2023-04-17,40,24.8,32.5,38,24.8,31.3,10.3,27.8,0,0,0,,0,0,22.7,11.4,271.8,1007.3,22.4,3.4,294.5,25.6,9,10,2023-04-17T05:54:00,2023-04-17T18:47:20,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-18,39,25.4,33.1,38.1,25.4,32.1,12,29.9,0,0,0,,0,0,33.5,14.8,261.6,1008.4,25.4,3.7,249.2,21.6,9,10,2023-04-18T05:52:59,2023-04-18T18:47:54,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-19,37.2,25,31.4,37.4,25,30.7,13.1,34.2,0,0,0,,0,0,46.4,18.4,323.2,1006.1,54.3,3.2,270.9,23.4,9,10,2023-04-19T05:51:58,2023-04-19T18:48:28,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
faridabad,2023-04-20,34.8,25,29.2,33.9,25,28.7,13.3,39.3,1.955,100,4.17,rain,0,0,55.4,27.7,261.5,1003.4,61.6,3.3,246.2,21.3,9,10,2023-04-20T05:50:58,2023-04-20T18:49:03,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-21,35.6,23,29.2,33.4,23,28.2,10.2,34,0,0,0,,0,0,29.9,15.9,14.3,1004.3,56.8,3.5,297.5,25.8,9,10,2023-04-21T05:49:59,2023-04-21T18:49:37,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-22,35.3,23.3,29.5,33.2,23.3,28.2,7.5,27.7,0,0,0,,0,0,43.2,18.4,15.8,1005.5,31.4,3.6,305.4,26.5,10,10,2023-04-22T05:49:00,2023-04-22T18:50:12,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
faridabad,2023-04-23,31,24,27.1,29,24,26.4,6,26.9,0,0,0,,0,0,46.4,22.3,314.4,1007.6,79,3.8,303.2,26.2,10,10,2023-04-23T05:48:02,2023-04-23T18:50:46,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
