name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
karnal,2023-04-01,27.3,15.1,19.6,27,15.1,19.6,13.7,72.1,5.5,100,29.17,rain,0,0,29.5,17.6,111,1009.7,57,21.1,196.9,17.1,9,10,2023-04-01T06:12:13,2023-04-01T18:40:21,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,42137099999"
karnal,2023-04-02,28.7,16,21.5,28,16,21.4,13.3,62.5,0.4,100,4.17,rain,0,0,24.5,16.9,331,1008.6,5.7,24.1,262.5,22.5,9,10,2023-04-02T06:11:02,2023-04-02T18:40:57,0.37,Rain,Clear conditions throughout the day with early morning rain.,rain,remote
karnal,2023-04-03,28.4,17.4,22.6,27.7,17.4,22.5,11.8,51.6,0.5,100,12.5,rain,0,0,18,18,348.2,1007.3,36.4,23.3,220.1,18.9,8,10,2023-04-03T06:09:52,2023-04-03T18:41:33,0.41,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain clearing later.,rain,"remote,42137099999"
karnal,2023-04-04,30,17,22.9,28.8,17,22.6,11.6,51.2,0.4,100,4.17,rain,0,0,23.4,13.7,331.1,1009,27.6,23.3,264.9,23,9,10,2023-04-04T06:08:41,2023-04-04T18:42:08,0.44,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"remote,42137099999"
karnal,2023-04-05,31.6,17.3,24.1,29.4,17.3,23.5,6.5,36.8,0,0,0,,0,0,22.7,16.6,310.7,1009.8,4,23.3,280.8,24.3,9,10,2023-04-05T06:07:31,2023-04-05T18:42:44,0.47,Clear,Clear conditions throughout the day.,clear-day,"remote,42137099999"
karnal,2023-04-06,32.3,18.4,24.9,30,18.4,24.1,2.5,24.9,0,0,0,,0,0,32.8,19.8,324.3,1011.9,18.2,23.3,278.2,24.1,9,10,2023-04-06T06:06:21,2023-04-06T18:43:19,0.5,Clear,Clear conditions throughout the day.,clear-day,"remote,42137099999"
karnal,2023-04-07,32.7,18.2,24.9,30.4,18.2,24.2,5.5,30.7,0,0,0,,0,0,32.8,20.5,314.1,1013.3,0,23.3,283.8,24.5,9,10,2023-04-07T06:05:11,2023-04-07T18:43:55,0.54,Clear,Clear conditions throughout the day.,clear-day,"remote,42137099999"
karnal,2023-04-08,34.9,18.4,25.9,32.2,18.4,25,0.6,22.4,0,0,0,,0,0,32.8,15.5,321.1,1013.7,0,23.3,288.3,25,9,10,2023-04-08T06:04:02,2023-04-08T18:44:31,0.57,Clear,Clear conditions throughout the day.,clear-day,"remote,42137099999"
karnal,2023-04-09,34.1,19.8,26.7,31.5,19.8,25.7,-1.6,16.4,0,0,0,,0,0,14.4,13.3,298.6,1013.6,0,24.1,289.5,25,9,10,2023-04-09T06:02:53,2023-04-09T18:45:07,0.61,Clear,Clear conditions throughout the day.,clear-day,remote
karnal,2023-04-10,35,20.6,27.5,32.3,20.6,26.4,-0.6,17.7,0,0,0,,0,0,19.8,15.8,315.3,1011.7,11.2,23.3,286.5,24.6,9,10,2023-04-10T06:01:45,2023-04-10T18:45:43,0.65,Clear,Clear conditions throughout the day.,clear-day,"remote,42137099999"
karnal,2023-04-11,36.6,21.1,28.6,33.8,21.1,27.3,1.9,19.1,0,0,0,,0,0,31.3,25.2,317.8,1011,49.8,23.3,276.3,23.8,9,10,2023-04-11T06:00:37,2023-04-11T18:46:19,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42137099999"
karnal,2023-04-12,37.9,23.8,30.2,35,23.8,28.8,4,20.8,0,0,0,,0,0,42.5,19.1,303.7,1009.9,30.6,23.3,282,24.3,9,10,2023-04-12T05:59:29,2023-04-12T18:46:55,0.72,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,42137099999"
karnal,2023-04-13,38.7,23.7,30.8,35.5,23.7,29.2,1.6,17.4,0,0,0,,0,0,26.3,22.3,298.2,1008.6,0.6,23.3,289.1,24.8,9,10,2023-04-13T05:58:22,2023-04-13T18:47:31,0.75,Clear,Clear conditions throughout the day.,clear-day,"remote,42137099999"
karnal,2023-04-14,39.5,23.9,31.7,36.2,23.9,30,1.6,16.7,0,0,0,,0,0,22,15.5,309.2,1007.5,1,23.3,290.4,25.1,9,10,2023-04-14T05:57:16,2023-04-14T18:48:07,0.79,Clear,Clear conditions throughout the day.,clear-day,"remote,42137099999"
karnal,2023-04-15,39.6,25.5,32.5,36.2,25.5,30.6,0.2,14.1,0,0,0,,0,0,15.1,11.5,296.7,1006.9,26.4,23.3,290.6,25.2,9,10,2023-04-15T05:56:10,2023-04-15T18:48:44,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,42137099999"
karnal,2023-04-16,40.6,24.8,32.8,37,24.8,30.7,-0.1,13.1,0,0,0,,0,0,25.6,14.8,235.8,1006.1,38.2,24.1,282.3,24.4,9,10,2023-04-16T05:55:05,2023-04-16T18:49:20,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
karnal,2023-04-17,40.1,26.5,33.3,37.2,26.1,31.4,4.4,17.5,0,0,0,,0,0,15.5,11.9,281.4,1005.7,23.3,23.3,287.8,24.8,9,10,2023-04-17T05:54:00,2023-04-17T18:49:57,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42137099999"
karnal,2023-04-18,40.7,27.1,33.4,38,26.3,31.6,6.9,20.6,0.6,100,8.33,rain,0,0,39.2,24.1,271.7,1006.6,57.3,22.6,276.5,24,9,10,2023-04-18T05:52:56,2023-04-18T18:50:33,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,42137099999"
karnal,2023-04-19,37.7,23.9,30,35.4,23.9,29,10.1,32,0.6,100,20.83,rain,0,0,50,32,16.1,1005.3,77.4,23.1,214.1,18.4,8,10,2023-04-19T05:51:53,2023-04-19T18:51:10,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,42137099999"
karnal,2023-04-20,35.3,22.3,28.1,32.9,22.3,27.2,10.3,36.5,0.9,100,16.67,rain,0,0,58,38.5,9.3,1002.9,68,23,283,24.4,9,10,2023-04-20T05:50:50,2023-04-20T18:51:47,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,42137099999"
karnal,2023-04-21,34.5,21.7,27.1,32,21.7,26.4,7.8,32.2,0,0,0,,0,0,47.9,39.6,53.4,1003.7,35.8,23.3,252.1,21.8,9,10,2023-04-21T05:49:48,2023-04-21T18:52:24,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42137099999"
karnal,2023-04-22,34.9,21.7,28.3,32.2,21.7,27,3.9,23.6,0.1,100,4.17,rain,0,0,62.3,36.7,346.9,1005.1,20.1,23.3,299.1,26.1,9,10,2023-04-22T05:48:47,2023-04-22T18:53:01,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,42137099999"
karnal,2023-04-23,33.5,21.4,28.1,31,21.4,26.9,1,18.5,0,0,0,,0,0,36.4,19.4,320.8,1006,75.5,24.1,280.2,24.2,9,10,2023-04-23T05:47:47,2023-04-23T18:53:38,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
karnal,2023-04-24,34.4,21.2,27.9,31.8,21.2,26.8,2.7,21.7,0,0,0,,0,0,32,20.5,132.1,1009.6,85.4,23.3,250.4,21.6,9,10,2023-04-24T05:46:47,2023-04-24T18:54:16,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42137099999"
karnal,2023-04-25,34.4,20.4,27.6,32,20.4,26.5,5.9,26.9,0,0,0,,0,0,34.9,19.8,121,1011.2,15.3,23.3,295.2,25.7,9,10,2023-04-25T05:45:48,2023-04-25T18:54:53,0.16,Clear,Clear conditions throughout the day.,clear-day,"remote,42137099999"
karnal,2023-04-26,35.7,23.2,29.7,33.1,23.2,28.4,5.5,22.9,0,0,0,,0,0,18,18.4,33.7,1007.7,84.3,23.3,285,24.6,9,10,2023-04-26T05:44:50,2023-04-26T18:55:31,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,42137099999"
karnal,2023-04-27,36.2,24.3,29.9,33.5,24.3,28.6,5.1,22.4,0.1,100,4.17,rain,0,0,38.5,26.3,112,1007.1,89.4,23.3,216.1,18.5,7,10,2023-04-27T05:43:53,2023-04-27T18:56:09,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,42137099999"
karnal,2023-04-28,36.4,22.7,28.7,34,22.7,27.7,8.7,30.5,0.5,100,12.5,rain,0,0,40.3,28.4,193.8,1008.4,92,23.3,261,22.5,9,10,2023-04-28T05:42:57,2023-04-28T18:56:46,0.25,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"remote,42137099999"
