name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
panchkula,2023-04-01,26.1,15.6,19.5,26.1,15.6,19.5,12.8,67.7,5.948,100,4.17,rain,0,0,33.1,28.1,130,1010.3,80.9,13.2,189,16.3,9,10,2023-04-01T06:12:16,2023-04-01T18:41:20,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42083099999,42705299999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-02,27.1,14.2,20.7,27.2,14.2,20.7,12.5,61.5,0.1,100,4.17,rain,0,0,22.7,15.5,338.1,1009.1,8,17.4,271.6,23.5,9,10,2023-04-02T06:11:03,2023-04-02T18:41:58,0.37,Rain,Clear conditions throughout the day with early morning rain.,rain,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-03,25.8,17.3,21,25.8,17.3,21,11.9,57.8,1.775,100,8.33,rain,0,0,27.4,22.3,350.6,1008,58.5,16.9,201,17.6,8,10,2023-04-03T06:09:50,2023-04-03T18:42:36,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-04,28.8,16.9,22.4,27.7,16.9,22.2,10.9,50.6,0.002,100,4.17,rain,0,0,18,14,346.9,1009.8,36.9,16.7,267.8,23,9,10,2023-04-04T06:08:37,2023-04-04T18:43:14,0.44,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-05,30.9,14.1,23.1,28.8,14.1,22.5,6.5,39.3,0,0,0,,0,0,23.8,18.7,331.7,1010.5,17.1,16.7,289.6,25.2,9,10,2023-04-05T06:07:25,2023-04-05T18:43:51,0.47,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42705299999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-06,30.9,18.6,24.1,28.9,18.6,23.6,5,32.3,0,0,0,,0,0,32.4,19.4,329.8,1012.5,34.2,17.4,281.9,24.4,9,10,2023-04-06T06:06:12,2023-04-06T18:44:29,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-07,32.2,16.7,24.2,30,16.7,23.6,6.5,35.8,0,0,0,,0,0,36,22.3,326.1,1013.6,0.4,17.4,289.3,25.1,9,10,2023-04-07T06:05:01,2023-04-07T18:45:07,0.54,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-08,33.7,17.9,24.9,31.2,17.9,24.2,4.5,30.9,0,0,0,,0,0,19.8,14,325.5,1014,0.8,17.4,293,25.2,9,10,2023-04-08T06:03:49,2023-04-08T18:45:45,0.57,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-09,33.6,16.6,25.6,31.1,16.6,24.8,3.1,28,0,0,0,,0,0,11.9,11.5,302.6,1014,1.3,17.4,295.8,25.5,9,10,2023-04-09T06:02:38,2023-04-09T18:46:23,0.61,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
panchkula,2023-04-10,34.5,16.6,26.4,31.8,16.6,25.5,4.1,28.1,0,0,0,,0,0,38.5,19.4,324.3,1012,3.4,17.4,294.8,25.5,9,10,2023-04-10T06:01:28,2023-04-10T18:47:01,0.65,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42104099999,42101099999,remote,42103099999,42105099999"
