name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
rohtak,2023-04-01,28,17,20.7,27.8,17,20.7,16.8,81.3,3.555,100,4.17,rain,0,0,32.8,13,116.6,1009.7,55.6,2.8,237.8,20.5,9,10,2023-04-01T06:14:14,2023-04-01T18:41:39,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999,VIDD"
rohtak,2023-04-02,29.8,17.5,23.4,34.7,17.5,23.5,16.4,68.5,0,0,0,,0,0,31.7,18.4,267,1008.5,32.4,3.1,247.1,21.3,9,10,2023-04-02T06:13:04,2023-04-02T18:42:13,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-03,30.7,19.5,24.8,35.7,19.5,25,15.9,60,0,0,0,,0,0,46.4,14.8,28,1007.2,19.8,3,244.3,21.1,8,10,2023-04-03T06:11:55,2023-04-03T18:42:47,0.41,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-04,30,18.7,24.6,35.1,18.7,24.6,14.8,58,7.122,100,8.33,rain,0,0,30.6,18.4,290,1009.7,33.1,3.7,276.2,23.8,9,10,2023-04-04T06:10:46,2023-04-04T18:43:21,0.44,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-05,32,19,25.2,36.1,19,25,11.7,47.7,0,0,0,,0,0,21.6,14.8,297.5,1010.3,2.3,3.3,284.5,24.5,9,10,2023-04-05T06:09:38,2023-04-05T18:43:55,0.47,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-06,32.3,19.6,26,37.4,19.6,25.6,9.3,38.7,0,0,0,,0,0,36.7,14.8,312.7,1012.5,33.7,3.7,283.3,24.5,9,10,2023-04-06T06:08:30,2023-04-06T18:44:29,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-07,33,19.9,26.2,38.4,19.9,25.7,7.6,35.7,0,0,0,,0,0,42.1,16.6,292.3,1014.1,0,3.5,294,25.3,10,10,2023-04-07T06:07:22,2023-04-07T18:45:03,0.54,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
rohtak,2023-04-08,33.3,19,26.6,38.9,19,26,6.3,31.4,0,0,0,,0,0,24.8,14.8,284.2,1014.6,2.5,3.4,297.8,25.5,10,10,2023-04-08T06:06:14,2023-04-08T18:45:37,0.57,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
rohtak,2023-04-09,35,19.8,27.5,41.3,19.8,26.8,6.8,32.3,0,0,0,,0,0,20.5,14.8,286.2,1014.6,0,3.2,295.8,25.4,10,10,2023-04-09T06:05:07,2023-04-09T18:46:11,0.61,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-10,34.1,19.8,27.4,41.3,19.8,26.8,6.9,31.5,0,0,0,,0,0,33.5,14.8,270.7,1012.7,24.8,3.4,279.1,24,9,10,2023-04-10T06:04:00,2023-04-10T18:46:46,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-11,36.1,20.9,28.6,42.3,20.9,27.9,8.6,32.1,0,0,0,,0,0,35.3,16.7,282.6,1011.9,18.7,3.3,291.2,25.2,9,10,2023-04-11T06:02:54,2023-04-11T18:47:20,0.68,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-12,36,24,29.8,42.4,24,29.3,10.6,33.6,0,0,0,,0,0,51.8,18.4,283.5,1011.4,57.9,3.6,280.6,24.1,9,10,2023-04-12T06:01:48,2023-04-12T18:47:54,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-13,38,22.8,30.5,44,22.8,29.8,8.6,29.8,0,0,0,,0,0,25.2,14.8,286,1009.5,15.3,5.1,296,25.4,9,10,2023-04-13T06:00:43,2023-04-13T18:48:29,0.75,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999,remote"
rohtak,2023-04-14,38.4,24,31.1,44.2,24,30.2,7.1,26.8,0,0,0,,0,0,18.7,16.6,273.3,1008.8,20.4,3.5,297,25.6,9,10,2023-04-14T05:59:38,2023-04-14T18:49:03,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-15,40.1,24.7,32.4,47.5,24.7,31.4,7.7,26,0,0,0,,0,0,11.2,9.9,234.2,1008.1,6,3.5,299.2,25.7,10,10,2023-04-15T05:58:34,2023-04-15T18:49:38,0.82,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-16,40,24.7,32.9,46.3,24.7,31.9,9.4,25.8,0,0,0,,0,0,37.1,18.4,249.3,1007.1,46.6,4.8,289.3,25.1,9,10,2023-04-16T05:57:30,2023-04-16T18:50:13,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,VIDD,remote"
rohtak,2023-04-17,40,25.2,32.7,47.4,25.2,32,11.1,30.1,0,0,0,,0,0,20.2,10.9,267.2,1007.1,23.6,3.5,294.5,25.6,9,10,2023-04-17T05:56:27,2023-04-17T18:50:48,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-18,39,25.8,33.1,49.7,25.8,33.1,13.1,32.9,0,0,0,,0,0,36.4,14.8,260.1,1008.3,26.9,3.8,286.2,24.6,9,10,2023-04-18T05:55:25,2023-04-18T18:51:23,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-19,37.2,25,31.4,48.2,25,31.4,14,37.2,0,0,0,,0,0,46.4,18.4,324.6,1006,55.6,3.3,261.3,22.5,9,10,2023-04-19T05:54:23,2023-04-19T18:51:58,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,VIDD"
rohtak,2023-04-20,34.8,25,29,40.5,25,29,14.2,42.7,2.442,100,4.17,rain,0,0,55.4,27.7,260.6,1003.3,61.8,3.4,268.7,23.2,9,10,2023-04-20T05:53:22,2023-04-20T18:52:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-21,35.7,23,29.1,42.7,23,28.5,11.2,37.1,0,0,0,,0,0,37.4,15.8,27.5,1004.1,58.1,3.6,303.9,26,10,10,2023-04-21T05:52:22,2023-04-21T18:53:09,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-22,35.3,23.6,29.5,41.6,23.6,28.8,8.6,31.1,0,0,0,rain,0,0,37.1,18.4,8.9,1005.4,32.5,3.7,307.3,26.9,10,10,2023-04-22T05:51:22,2023-04-22T18:53:45,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
rohtak,2023-04-23,31,20.3,26.9,29,20.3,26.2,6.2,28.8,0,0,0,,0,0,46.4,18.4,312.5,1007.6,79.1,3.9,303.4,26.4,9,10,2023-04-23T05:50:23,2023-04-23T18:54:20,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
