name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mysore,4/1/2023,34,23.1,27.8,33.2,23.1,28,16.6,51.8,0,0,0,,0,0,28.8,19.4,206.2,1010.8,31.2,17.7,281.1,24.2,10,10,2023-04-01T06:20:10,2023-04-01T18:34:49,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mysore,4/2/2023,35,21.9,27.4,33.4,21.9,27.1,16,54,1,100,20.83,rain,0,0,30.2,18.4,255.8,1011.7,29.3,13.5,269.4,23.4,10,10,2023-04-02T06:19:31,2023-04-02T18:34:52,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43289099999,remote,VOMY"
Mysore,4/3/2023,34,21.6,27.6,33.2,21.6,27.5,16.6,54.4,0.2,100,8.33,rain,0,0,24.5,22.3,218.6,1010.9,19.8,15.6,291.3,25.2,10,10,2023-04-03T06:18:53,2023-04-03T18:34:55,0.41,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"remote,VOMY"
Mysore,4/4/2023,26,23,24.2,26,23,24.2,18.3,70.1,4,100,54.17,rain,0,0,19.1,12.2,229.6,1012.8,81.4,14.3,33.6,3,2,10,2023-04-04T06:18:16,2023-04-04T18:34:58,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,VOMY"
Mysore,4/5/2023,33,21.2,26.9,33.9,21.2,27.4,17.7,58.5,0,0,0,,0,0,23.4,18.4,155.3,1011.8,38.4,15.7,294.1,25.3,10,10,2023-04-05T06:17:38,2023-04-05T18:35:01,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,remote,VOMY"
Mysore,4/6/2023,33,22,27.3,34.1,22,27.7,17.8,58.5,0.1,100,4.17,rain,0,0,29.5,15.5,224,1012,35.2,16.1,214.8,18.5,10,10,2023-04-06T06:17:01,2023-04-06T18:35:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43289099999,43291099999,remote,VOMY"
Mysore,4/7/2023,33,21.9,27.5,32.5,21.9,27.6,16.6,53.8,0,0,0,,0,0,35.3,19.4,145.3,1013.4,24.5,15.5,322.5,27.9,10,10,2023-04-07T06:16:23,2023-04-07T18:35:07,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mysore,4/8/2023,33,21.6,27.6,33.1,21.6,27.2,13.1,42.7,0,0,0,,0,0,39.6,20.9,116.6,1014.5,13.5,16.6,330.5,28.5,10,10,2023-04-08T06:15:47,2023-04-08T18:35:10,0.57,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mysore,4/9/2023,33,21,27.6,32.2,21,27.2,13.9,45,0,0,0,,0,0,36,17.6,96.8,1015.3,7.2,13.2,328,28.4,10,10,2023-04-09T06:15:10,2023-04-09T18:35:14,0.61,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mysore,4/10/2023,34,22.1,28.4,32.6,22.1,27.9,13.7,42.9,0,0,0,,0,0,33.1,23,103.4,1013.4,18,17.9,329.6,28.4,10,10,2023-04-10T06:14:34,2023-04-10T18:35:18,0.65,Clear,Clear conditions throughout the day.,clear-day,"43291099999,remote,VOMY"
