name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
udupi,2023-04-01,32,24,27.7,34.9,24,29.1,20.8,67.3,0,0,0,,0,0,21.6,25.9,295.3,1009.3,30.1,7.5,318.3,27.5,10,10,2023-04-01T06:27:26,2023-04-01T18:42:48,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VOML,43284099999,43285099999"
udupi,2023-04-02,33,24,28,35.1,24,29.1,20.7,66.1,0,0,0,,0,0,26.6,24.1,314.1,1009.5,27.9,7.4,317.8,27.5,10,10,2023-04-02T06:26:46,2023-04-02T18:42:52,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,43285099999"
udupi,2023-04-03,32,23,27.4,34.9,23,28.4,20.4,67.2,0,0,0,,0,0,29.2,27.7,311.8,1009,21.9,7.5,318.5,27.5,10,10,2023-04-03T06:26:06,2023-04-03T18:42:57,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,43285099999"
udupi,2023-04-04,32.8,23,27.6,36,23,29,20.6,67,0,0,0,,0,0,18.4,18.4,293.6,1010.3,28.9,8,315.6,27.4,10,10,2023-04-04T06:25:26,2023-04-04T18:43:01,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,43285099999"
udupi,2023-04-05,32.1,24,28.1,36.7,24,30.2,22,70.5,0,0,0,,0,0,20.2,25.9,298.6,1009.2,21.5,7.4,315.5,27.4,10,30,2023-04-05T06:24:47,2023-04-05T18:43:06,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,43285099999"
udupi,2023-04-06,34,25,29,40.1,25,32.1,23,71.4,0,0,0,,0,0,20.5,22.3,280,1009.6,33,7.2,314.4,27.4,10,15,2023-04-06T06:24:08,2023-04-06T18:43:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,43285099999"
udupi,2023-04-07,33.1,26,29,38.4,26,32.4,23.1,71.5,0,0,0,,0,0,22,18.4,269,1010.7,45.7,6.4,294.4,25.5,10,60,2023-04-07T06:23:29,2023-04-07T18:43:16,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,43285099999"
udupi,2023-04-08,34,24,28.9,39.3,24,31.8,22.3,68.8,0,0,0,,0,0,22.7,22.3,247.2,1011.5,18.7,6.5,314.5,27.2,10,60,2023-04-08T06:22:50,2023-04-08T18:43:21,0.57,Clear,Clear conditions throughout the day.,clear-day,"VOML,43284099999,43285099999"
udupi,2023-04-09,34,26,29.7,39,26,33,22.9,68.8,0,0,0,rain,0,0,21.2,20.5,250.7,1012,27.7,6.4,314,27.1,10,60,2023-04-09T06:22:12,2023-04-09T18:43:26,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,43285099999"
udupi,2023-04-10,34,25,29.6,40.8,25,34.2,24.2,73.6,0,0,0,,0,0,21.2,22.3,263.4,1010.7,41.9,5.4,312.8,27.1,10,75,2023-04-10T06:21:34,2023-04-10T18:43:32,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,43285099999"
