name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mangalore,2023-04-01,15.9,6.7,10.6,15.9,3.5,9.2,3.6,62.6,0,0,0,,0,0,22.7,22.9,278,1016.2,65,10,150.7,13.1,7,10,2023-04-01T07:26:16,2023-04-01T19:02:55,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-02,17.6,8.8,12.7,17.6,6.4,12,6.5,67.2,0,0,0,rain,0,0,23,28.3,319.1,1016.4,70.8,10.6,96.8,8.7,4,10,2023-04-02T06:27:24,2023-04-02T18:01:11,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-03,18.9,6.1,12.7,18.9,4.2,12,7.1,71.1,0,0,0,,0,0,16.2,17,336,1017.7,54.9,10,101.4,8.8,5,10,2023-04-03T06:28:32,2023-04-03T17:59:28,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-04,19.1,8.3,13,19.1,6.3,12.5,7.6,72.1,0,0,0,,0,0,18,20.8,304.8,1018.2,49.8,10.6,103.5,9.2,6,10,2023-04-04T06:29:40,2023-04-04T17:57:45,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-05,16.3,6.9,11.2,16.3,4.4,10.3,7,76.7,0,0,0,,0,0,15.1,20.2,210.6,1018,41.8,10.6,119.6,10.4,5,10,2023-04-05T06:30:48,2023-04-05T17:56:03,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-06,19.8,9.8,13.7,19.8,9.8,13.7,9,74.2,0,0,0,,0,0,15.8,16.5,17.1,1012.9,74.6,10,126.5,11,6,10,2023-04-06T06:31:56,2023-04-06T17:54:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-07,15.8,12.3,13.9,15.8,12.3,13.9,12.3,90,1.178,100,16.67,rain,0,0,9,15.2,352.2,1001,94.6,10,31.4,2.7,1,10,2023-04-07T06:33:04,2023-04-07T17:52:39,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-08,15.7,7.2,11.6,15.7,3.6,10.6,6.1,70.1,0.528,100,12.5,rain,0,0,46.1,34.2,257,996.5,69.8,10.4,94.7,8.2,4,10,2023-04-08T06:34:11,2023-04-08T17:50:58,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-09,10,6.3,7.9,10,2.5,4.4,2.5,69,0.956,100,12.5,rain,0,0,43.6,33.8,223.8,1004.9,81.3,9.4,67,6,3,10,2023-04-09T06:35:19,2023-04-09T17:49:18,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-10,10.8,7,9.5,10.8,2.9,7.5,4.9,73.4,0.654,100,12.5,rain,0,0,38.5,35.2,200.5,1011.4,93.3,11.3,39.1,3.3,2,10,2023-04-10T06:36:27,2023-04-10T17:47:38,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-11,14.6,10.5,12.1,14.6,10.5,12.1,9.8,86,1.176,100,16.67,rain,0,0,10.8,18.3,178.4,1014.1,88.8,9.3,75.5,6.5,4,10,2023-04-11T06:37:35,2023-04-11T17:45:58,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-12,15.2,7,11.6,15.2,5.3,11.5,10.5,92.8,4.778,100,8.33,rain,0,0,20.2,15.9,131.5,1010.2,82.3,9.7,57.9,5,3,10,2023-04-12T06:38:42,2023-04-12T17:44:20,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,remote,D0841,95979099999"
mangalore,2023-04-13,17.3,7.2,13,17.3,7.2,13,9.9,82.6,0.737,100,8.33,rain,0,0,13,12.1,101.3,1018.7,70.4,10.6,104.8,9.1,6,10,2023-04-13T06:39:50,2023-04-13T17:42:42,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-14,14.6,7.5,11.5,14.6,5.7,11.2,8.1,80.6,0.138,100,8.33,rain,0,0,20.2,22.2,21.1,1017.5,85,10,71.8,6,3,10,2023-04-14T06:40:58,2023-04-14T17:41:04,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-15,17,8.7,13.3,17,6.7,13.1,10.1,81.9,0.915,100,8.33,rain,0,0,47.2,23.3,359.7,1002.2,85.9,10.5,49.4,4.1,2,10,2023-04-15T06:42:05,2023-04-15T17:39:27,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-16,13.7,6.3,11.7,13.7,3.3,11.3,8.9,84,10.993,100,12.5,rain,0,0,17.3,28.3,222.3,1001.8,73.3,9.9,46.8,4.1,2,10,2023-04-16T06:43:13,2023-04-16T17:37:51,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-17,18,5.6,11,18,2.9,9.7,5.7,71.6,0.114,100,4.17,rain,0,0,31,21.5,315.3,1015,40,10,80.1,6.8,4,10,2023-04-17T06:44:20,2023-04-17T17:36:16,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-18,19.8,5.5,13.1,19.8,3.2,12.4,9.2,78.6,0.114,100,8.33,rain,0,0,52.9,29.6,353.3,1015.9,58.3,10,107.8,9.2,5,10,2023-04-18T06:45:28,2023-04-18T17:34:41,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-19,12.9,6.2,10,12.9,3.5,8.9,4.7,70.2,1.213,100,8.33,rain,0,0,39.2,29,303.8,1014.2,65.4,10.6,70.2,6,3,10,2023-04-19T06:46:35,2023-04-19T17:33:08,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-20,18.1,7.3,12.9,18.1,3.9,11.7,6.8,66.7,0,0,0,rain,0,0,43.2,31.6,332.8,1017.8,70.8,10,68,5.8,3,10,2023-04-20T06:47:43,2023-04-20T17:31:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-21,20.8,15,17.2,20.8,15,17.2,9.5,61.2,0.037,100,4.17,rain,0,0,42.1,26.7,306.9,1021.9,78.8,10,70.5,6.1,3,10,2023-04-21T06:48:50,2023-04-21T17:30:03,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-22,19.9,11.9,15.6,19.9,11.9,15.6,8.3,62.5,0,0,0,,0,0,54.4,30.6,314.2,1024,59.2,10,81.5,7.1,3,10,2023-04-22T06:49:57,2023-04-22T17:28:32,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
mangalore,2023-04-23,17.5,6.1,12,17.5,3.7,11.3,3.6,58.5,0,0,0,,0,0,49.3,21.2,301,1031.8,42.7,10,81.3,7,4,10,2023-04-23T06:51:04,2023-04-23T17:27:02,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94975099999,94970099999,94960099999,95972099999,94951099999,D0841,95979099999"
