name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kollam,2023-04-01,33,27.5,30.3,38.7,30.6,34.9,23.4,67.3,0,0,0,,0,0,27.7,14.8,312.7,1009,42.7,4.8,305.8,26.3,10,30,2023-04-01T06:21:31,2023-04-01T18:33:54,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43372099999,43352099999"
kollam,2023-04-02,33.3,27.4,30.2,39.8,30.3,35,23.8,69.1,0,0,0,,0,0,26.6,18.4,302.9,1009,42.3,5,301.5,26,10,30,2023-04-02T06:20:59,2023-04-02T18:33:51,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-03,33.4,26.7,30.1,40,29.5,35.2,24.1,70.6,0.097,100,4.17,rain,0,0,28.1,16.6,305.9,1008.6,49.3,5,303,26.2,10,30,2023-04-03T06:20:27,2023-04-03T18:33:48,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-04,33,27,29.1,38.8,29.6,33.2,23.6,72.8,1.501,100,8.33,rain,0,0,22,22.3,331.4,1009.8,67.9,4.5,273.7,23.7,10,30,2023-04-04T06:19:55,2023-04-04T18:33:45,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-05,33.2,25.7,29.7,40.6,25.7,34.3,24.1,72.7,0,0,0,,0,0,21.2,9.4,231.3,1009.3,50.9,4.8,303.5,26.3,10,60,2023-04-05T06:19:23,2023-04-05T18:33:42,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-06,33.7,27.1,30.2,41.9,30.5,36.1,24.7,73,9.175,100,4.17,rain,0,0,22.3,9.4,275.2,1009.4,51.9,4.9,300.6,25.9,10,60,2023-04-06T06:18:51,2023-04-06T18:33:39,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-07,33.5,26.1,29.9,41.6,26.1,34.6,24.1,72.1,5.785,100,8.33,rain,0,0,21.6,8.2,235.6,1010.3,49.6,4.8,308.6,26.6,10,60,2023-04-07T06:18:20,2023-04-07T18:33:37,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-08,33,27.1,30.5,40.6,30.4,36.3,24.5,70.6,0.259,100,4.17,rain,0,0,19.4,18.4,186.9,1011.5,51.7,4.8,311.2,26.9,10,60,2023-04-08T06:17:48,2023-04-08T18:33:35,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-09,33.1,27,29.6,39.7,29.7,34.3,23.8,71.4,0,0,0,rain,0,0,19.4,7.6,350.9,1011.7,50,4.7,290.6,25.2,10,30,2023-04-09T06:17:18,2023-04-09T18:33:33,0.61,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-10,33.1,26.1,29.6,42.1,26.1,34.8,24.3,73.4,0.193,100,4.17,rain,0,0,21.2,11.2,241.5,1010.5,40.6,4.9,310.2,26.9,10,30,2023-04-10T06:16:47,2023-04-10T18:33:31,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOTV,43371099999,43355099999,43354099999,43372099999,43352099999"
kollam,2023-04-11,33.3,26.2,29.5,41.9,26.2,34.2,24.2,73.6,0.4,100,4.17,rain,0,0,21.2,20.2,241.5,1010.7,25.8,14.2,311.3,27,10,60,2023-04-11T06:16:17,2023-04-11T18:33:29,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOTV,43371099999,43355099999,remote,43354099999,43372099999,43352099999"
kollam,2023-04-12,33.6,25.4,28.8,46.2,25.4,32.9,23.9,75.5,0,0,0,,0,0,21.2,23.8,258.5,1010.8,19.9,18.1,312,27,10,60,2023-04-12T06:15:47,2023-04-12T18:33:28,0.72,Clear,Clear conditions throughout the day.,clear-day,"43371099999,43355099999,remote,43354099999,43372099999,43352099999"
