name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kochi,2023-04-01,34,25,29.5,40.5,25,33.5,24,73.3,0.1,100,4.17,rain,0,0,23.8,24.1,289.9,1009.3,39.1,4.3,310.7,26.8,10,30,2023-04-01T06:22:30,2023-04-01T18:35:34,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43357099999,43352099999"
kochi,2023-04-02,35,26,29.9,41.8,26,34.1,23.8,71.1,0.1,100,4.17,rain,0,0,22.7,18.4,298.2,1009.4,51.1,4.5,308.3,26.6,10,10,2023-04-02T06:21:56,2023-04-02T18:35:33,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43353099999,VOCI,43355099999,43357099999,43352099999"
kochi,2023-04-03,34,26,29.5,40.5,26,33.2,23.8,72.6,0.2,100,8.33,rain,0,0,21.2,20.5,302.4,1008.9,48.2,4.5,300.2,25.7,10,10,2023-04-03T06:21:22,2023-04-03T18:35:32,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43357099999,43352099999"
kochi,2023-04-04,34,26,29.3,39.2,26,32.6,23.2,71.3,2,100,4.17,rain,0,0,19.1,24.2,286.4,1010.1,55.7,4.2,282.7,24.3,10,30,2023-04-04T06:20:48,2023-04-04T18:35:31,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43353099999,VOCI,43355099999,43357099999,43352099999"
kochi,2023-04-05,34,25,29.4,41.8,25,33.4,23.9,73.2,0.4,100,4.17,rain,0,0,20.2,14.8,282.9,1009.2,47.8,4.2,300.3,25.8,10,60,2023-04-05T06:20:15,2023-04-05T18:35:30,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43357099999,43352099999"
kochi,2023-04-06,34,26,29.3,41.8,26,34.2,25.1,79.6,1.3,100,20.83,rain,0,0,20.2,24.1,282.6,1009.5,55.1,3.9,251.1,21.7,10,60,2023-04-06T06:19:41,2023-04-06T18:35:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,ATVK,VOCI,43355099999,43357099999,43352099999"
kochi,2023-04-07,36,26,29,46.1,26,33.6,25.2,81,2.4,100,37.5,rain,0,0,28.1,14.8,336.3,1010.6,62.3,3.8,253.3,22,10,60,2023-04-07T06:19:08,2023-04-07T18:35:28,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43353099999,VOCI,43355099999,43357099999,43352099999"
kochi,2023-04-08,35,25.7,29.8,41.8,25.7,34.7,25,77.4,0.8,100,4.17,rain,0,0,17.3,20.5,259.7,1011.7,52.5,4.3,309.5,26.9,10,60,2023-04-08T06:18:35,2023-04-08T18:35:28,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,VOCI,43355099999,43357099999,43352099999"
kochi,2023-04-09,35,26.4,29.8,41.8,26.4,34.2,24.1,73.2,1.5,100,25,rain,0,0,21.6,16.6,260.9,1012.1,54.1,4.3,309,26.7,10,60,2023-04-09T06:18:03,2023-04-09T18:35:27,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43357099999,43352099999"
kochi,2023-04-10,36,25,29.5,43.1,25,34,24.5,75.9,1.3,100,12.5,rain,0,0,19.4,16.6,271.4,1010.8,43.8,4.4,307.7,26.8,10,60,2023-04-10T06:17:30,2023-04-10T18:35:27,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,VOCI,43355099999,43357099999,43352099999"
