name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thrissur,2023-12-25,33.1,23.5,27.9,36.9,23.5,30,21.9,71.3,0,0,0,,0,0,35.6,9.6,86.6,1012.2,41.5,4.5,232.8,20.1,8,10,2023-12-25T06:39:45,2023-12-25T18:10:19,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCI,VOCL"
thrissur,2023-12-26,33.1,23,27.8,36,23,28.8,21.1,68.7,0,0,0,,0,0,39.2,13.1,73.2,1012.2,29.6,5.8,257.5,22.2,9,10,2023-12-26T06:40:13,2023-12-26T18:10:50,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,42705599999,VOCI,VOCL,remote"
thrissur,2023-12-27,33.7,22,27.3,35.2,22,28.1,20,67,0,0,0,,0,0,40.3,12.1,71.7,1012,31.1,5.4,257.4,22.2,9,10,2023-12-27T06:40:41,2023-12-27T18:11:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2023-12-28,33.9,23,28.1,37.2,23,29.9,21.1,67.7,0,0,0,,0,0,41,18.4,73.6,1010.9,35.9,5.1,222.4,19.3,9,10,2023-12-28T06:41:08,2023-12-28T18:11:53,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2023-12-29,33.7,23.5,28.1,36.1,23.5,29.5,21.1,67.6,0,0,0,,0,0,39.6,11.1,79.8,1011,44.8,5.3,233.4,20.1,9,10,2023-12-29T06:41:35,2023-12-29T18:12:25,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2023-12-30,32.1,23.1,27.7,35.1,23.1,28.9,21.1,68.7,0,0,0,,0,0,42.5,12.6,76.8,1011.1,46.6,5.5,181.8,15.8,8,10,2023-12-30T06:42:01,2023-12-30T18:12:58,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2023-12-31,32.7,23.1,27.8,35.4,23.1,29.3,21,67.9,0,0,0,,0,0,39.6,14.3,78.1,1010.7,35.8,5.5,245.4,21.1,9,10,2023-12-31T06:42:26,2023-12-31T18:13:30,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2024-01-01,31.7,24.1,27.4,34.7,24.1,28.9,21.9,73,0,0,0,,0,0,34.6,12,90.1,1011.6,41,4.6,218.6,18.8,8,10,2024-01-01T06:42:51,2024-01-01T18:14:03,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2024-01-02,32.7,24.5,27.9,36.2,24.5,30,22.2,72.3,0,0,0,,0,0,35.6,11,100.1,1010.5,43,4.1,183,15.9,7,10,2024-01-02T06:43:15,2024-01-02T18:14:35,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2024-01-03,31.3,23,27.3,35.1,23,28.9,22.6,76.3,23.4,100,12.5,rain,0,0,28.1,13,69.1,1010.3,72.5,3.4,196.3,17,8,10,2024-01-03T06:43:39,2024-01-03T18:15:08,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2024-01-04,31.7,23.4,27.1,36.1,23.4,28.5,22.7,78,2,100,4.17,rain,0,0,32,11.7,76.2,1010.4,79.2,3.4,119,10.3,8,10,2024-01-04T06:44:01,2024-01-04T18:15:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
thrissur,2024-01-05,30.3,22.8,26.3,34.5,22.8,28.3,23.3,84.5,10,100,4.17,rain,0,0,22.7,11.3,103.4,1010.9,77.4,4.4,22.2,2,1,10,2024-01-05T06:44:23,2024-01-05T18:16:13,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43353099999,42705599999,VOCI,VOCL,43335099999,43357099999,43320099999"
