name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chennai,2023-04-01,34,27,30.3,45.3,30.5,37.2,25.6,76.6,0,0,0,rain,0,0,32,23.9,163.8,1008.4,39.9,6.5,268.8,23.2,10,75,2023-04-01T06:05:23,2023-04-01T18:20:34,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-02,34,28,30.8,45.3,33.6,38.5,25.9,76.1,0,0,0,rain,0,0,38.2,24.2,152.7,1008,53.7,5.9,299.8,26,10,75,2023-04-02T06:04:44,2023-04-02T18:20:38,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-03,34,28.8,30.9,45.3,35.2,38.4,25.7,74.4,0,0,0,rain,0,0,34.6,27.1,154.9,1008.3,48.3,6.3,299.3,25.9,10,75,2023-04-03T06:04:05,2023-04-03T18:20:43,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-04,35,28,31,42.1,33.2,37.5,25.1,72.2,0,0,0,rain,0,0,34.6,25.6,165.5,1009.3,55.5,6.3,303.8,26.3,10,75,2023-04-04T06:03:25,2023-04-04T18:20:47,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-05,35,27.8,30.7,43.5,32.5,37.9,25.8,76.2,0,0,0,,0,0,30.6,24.9,160.9,1009,34.9,6.8,313.9,27.1,10,75,2023-04-05T06:02:46,2023-04-05T18:20:51,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-06,35,27.4,30.6,44.9,31.8,37.5,25.6,75.9,0,0,0,rain,0,0,27,26.3,159.8,1009.4,39.8,6.6,316.5,27.3,10,75,2023-04-06T06:02:08,2023-04-06T18:20:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-07,33.7,27.1,30.2,42.1,30.8,36.4,25.1,74.9,0,0,0,,0,0,23.8,22,129,1011,41.4,6.4,319.8,27.5,10,75,2023-04-07T06:01:29,2023-04-07T18:21:00,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-08,33.1,26.2,29.7,40.6,26.2,34.7,24.4,73.8,0,0,0,,0,0,20.2,19.6,122.4,1012.3,40.1,6.2,320.5,27.7,10,30,2023-04-08T06:00:51,2023-04-08T18:21:05,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-09,33,26.8,30,39.3,29.4,35.3,24.3,72.2,0,0,0,,0,0,17.6,18.2,106,1012.5,48.9,6.2,317.3,27.5,10,60,2023-04-09T06:00:13,2023-04-09T18:21:10,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-10,33.2,26.3,29.9,40.6,26.3,35.3,24.7,74.9,0,0,0,,0,0,16.2,23.1,101.1,1011,40.6,6.4,321.8,27.8,10,30,2023-04-10T05:59:36,2023-04-10T18:21:15,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-04-11,35,25.5,30.1,40.6,25.5,34.4,23.5,72.1,0,0,0,,0,0,16.2,21.6,113.1,1010.6,27.6,10,327.7,28.2,10,10,2023-04-11T05:58:59,2023-04-11T18:21:20,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
