name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
coimbature,2023-04-01,35,24,28.9,36.6,24,30,20.3,62.7,0,0,0,rain,0,0,33.5,22.3,195.1,1010.3,41.2,5.1,280.4,24.2,10,10,2023-04-01T06:19:21,2023-04-01T18:33:07,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43317099999"
coimbature,2023-04-02,34.2,24,28.4,34.7,24,29,20.1,63.5,0,0,0,,0,0,25.6,18.4,208.5,1010.3,48.1,5.1,224.3,19.5,10,10,2023-04-02T06:18:45,2023-04-02T18:33:07,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
coimbature,2023-04-03,36,24,29.1,37.5,24,30.2,20.4,62.6,0,0,0,rain,0,0,29.5,18.4,211.1,1009.7,39.6,5.1,258.7,22.3,10,10,2023-04-03T06:18:09,2023-04-03T18:33:08,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
coimbature,2023-04-04,33,25,27.7,36.1,25,29,21.3,69.2,0.6,100,4.17,rain,0,0,20.2,18.4,245.2,1011.4,61.1,4.9,256.4,22.1,10,10,2023-04-04T06:17:33,2023-04-04T18:33:09,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
coimbature,2023-04-05,35.8,23,29.2,36.5,23,30.3,20,61.7,0,0,0,,0,0,21.6,18.4,162.2,1010.4,34.7,5.2,295.5,25.5,10,30,2023-04-05T06:16:58,2023-04-05T18:33:09,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
coimbature,2023-04-06,36,25,29.9,36.9,25,31.1,20.5,60.3,0,0,0,,0,0,19.1,18.4,135.5,1011,43.9,5,268.3,23,10,30,2023-04-06T06:16:23,2023-04-06T18:33:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
coimbature,2023-04-07,35,25,29.8,35.5,25,30.7,19.5,57.5,0,0,0,,0,0,28.8,22.3,63.2,1012.2,40.3,5.2,312.5,26.9,10,30,2023-04-07T06:15:48,2023-04-07T18:33:11,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
coimbature,2023-04-08,34,25,29.5,34.2,25,29.8,18.6,55.7,0,0,0,,0,0,36.4,22.3,73.6,1014.1,39.4,5.4,322.5,27.9,10,10,2023-04-08T06:15:13,2023-04-08T18:33:13,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
coimbature,2023-04-09,35,24,29.6,34,24,29.5,16.2,47,0,0,0,,0,0,31.7,14.8,72.2,1014.2,31.1,6.2,323.5,28.1,10,10,2023-04-09T06:14:39,2023-04-09T18:33:14,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
coimbature,2023-04-10,35,25,29.8,35.2,25,30.5,19.2,55.9,0,0,0,rain,0,0,31,25.9,79,1012.9,38.7,5.4,323.3,28.1,10,10,2023-04-10T06:14:05,2023-04-10T18:33:16,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
coimbature,2023-04-11,36,24.4,29.8,36.3,24.4,30.1,17.8,52.6,1.7,100,16.67,rain,0,0,24.1,16.9,67.2,1012.2,32.3,13.2,326,28.1,10,10,2023-04-11T06:13:31,2023-04-11T18:33:17,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
coimbature,2023-04-12,37.3,24.3,30.1,35.2,24.3,29.6,13.7,40.9,0,0,0,,0,0,25.2,22,71.6,1011,8.8,20.9,328.1,28.3,10,10,2023-04-12T06:12:58,2023-04-12T18:33:19,0.72,Clear,Clear conditions throughout the day.,clear-day,"43318099999,43321099999,43341099999,43335099999,remote"
coimbature,2023-04-13,38.1,23.8,30.7,36,23.8,30.1,11.7,35.2,0,0,0,,0,0,22,18.7,76.2,1010.9,15.5,16.9,335.1,29,10,10,2023-04-13T06:12:25,2023-04-13T18:33:22,0.75,Clear,Clear conditions throughout the day.,clear-day,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
coimbature,2023-04-14,38,23.4,30.6,36.4,23.4,30.7,16.6,50.5,0,0,0,,0,0,24.8,18.4,171.1,1011.4,41.9,9.7,330.9,28.5,10,10,2023-04-14T06:11:52,2023-04-14T18:33:24,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43335099999,remote"
coimbature,2023-04-15,37,23.2,30.4,35.8,23.2,31.1,18.8,56.7,0,0,0,,0,0,26.3,17.6,139.1,1010.9,34.6,6.6,316,27.2,10,10,2023-04-15T06:11:20,2023-04-15T18:33:27,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43321099999,43335099999,remote"
coimbature,2023-04-16,37.3,25,30.5,35.8,25,31.1,18.2,57,0,0,0,,0,0,22.3,15.5,148.6,1009.9,25.1,8.6,329.3,28.3,10,10,2023-04-16T06:10:48,2023-04-16T18:33:30,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
coimbature,2023-04-17,38,25,30.9,36.9,25,31.3,17.9,54.9,0,0,0,,0,0,23.8,15.1,144.9,1009.6,27.2,8.7,332.3,28.6,10,10,2023-04-17T06:10:17,2023-04-17T18:33:33,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
coimbature,2023-04-18,37.1,24,31,37.5,24,32.2,19,54.3,0,0,0,,0,0,24.1,14.8,142.6,1010.7,23.6,8,326.3,28.1,10,10,2023-04-18T06:09:46,2023-04-18T18:33:37,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
coimbature,2023-04-19,38,24.1,30.9,38.6,24.1,33.2,21.3,61.5,0,0,0,,0,0,28.8,18.4,207.7,1009.2,23.4,6.6,326.1,28.1,10,30,2023-04-19T06:09:15,2023-04-19T18:33:40,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
coimbature,2023-04-20,37,25.9,30.5,39.8,25.9,33.1,22.1,64,0,0,0,,0,0,33.8,24.1,212.2,1007.4,27.9,5,324.4,27.9,10,30,2023-04-20T06:08:46,2023-04-20T18:33:45,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
