name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
huzurabad,2023-04-01,38,24.5,30.3,36.3,24.5,30.5,17,50,0,0,0,,0,0,37.1,16.6,198.3,1007.4,36.7,18.4,305.3,26.2,10,30,2023-04-01T06:07:10,2023-04-01T18:25:59,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43087099999,43086099999,remote"
huzurabad,2023-04-02,38.3,24.7,30.1,37,24.7,30.1,17.2,50.4,0.6,100,8.33,rain,0,0,34.9,20.2,169.7,1007.3,44.8,18.4,275.6,23.7,10,30,2023-04-02T06:06:21,2023-04-02T18:26:12,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43087099999,43086099999,remote"
huzurabad,2023-04-03,37.7,25.4,31,37.7,25.4,31.5,18.3,51.4,0,0,0,,0,0,43.2,22,171.5,1006.7,55.6,18.4,218.5,18.9,9,30,2023-04-03T06:05:33,2023-04-03T18:26:25,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43087099999,43086099999,remote"
huzurabad,2023-04-04,38.2,26.5,31.6,37.8,26.5,32.9,18.5,49.4,0,0,0,,0,0,43.9,23.8,179.2,1007.5,50.5,19,237.3,20.5,10,30,2023-04-04T06:04:45,2023-04-04T18:26:38,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43087099999,43086099999,remote"
huzurabad,2023-04-05,38.4,25.5,31.5,39.5,25.5,32.3,18.6,51.3,0,0,0,,0,0,38.5,19.4,159.2,1007.7,38.5,18.4,255.6,22.1,10,60,2023-04-05T06:03:57,2023-04-05T18:26:51,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43087099999,43086099999,remote"
huzurabad,2023-04-06,38.2,25.4,30.4,39.9,25.4,31.5,18.9,52.9,0.5,100,16.67,rain,0,0,52.2,30.2,183.7,1008.9,34.8,18.4,264.4,23,10,75,2023-04-06T06:03:09,2023-04-06T18:27:05,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"43087099999,43086099999,remote"
huzurabad,2023-04-07,36.9,24.9,30.4,36.9,24.9,30.9,17.3,47.2,1.2,100,20.83,rain,0,0,34.6,22.3,183.9,1011,60.4,18.1,212.5,18.2,10,10,2023-04-07T06:02:22,2023-04-07T18:27:18,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43087099999,43086099999,remote"
huzurabad,2023-04-08,36.5,24,29.5,35.5,24,29.3,16.1,47.5,0.7,100,4.17,rain,0,0,29.2,17.6,14.5,1013.2,33.4,17.9,312.8,27,10,10,2023-04-08T06:01:35,2023-04-08T18:27:32,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43087099999,43086099999,remote"
huzurabad,2023-04-09,37.4,24.1,30.8,36.3,24.1,30.4,15.3,42.1,0,0,0,,0,0,15.5,10.4,59.4,1013,8,18.4,315.3,27.2,10,10,2023-04-09T06:00:48,2023-04-09T18:27:45,0.61,Clear,Clear conditions throughout the day.,clear-day,"43087099999,43086099999,remote"
huzurabad,2023-04-10,38.7,24.9,32.1,37,24.9,31.2,13,34.4,0,0,0,,0,0,13,9.7,115.5,1011.2,2.6,18.4,318.9,27.4,10,10,2023-04-10T06:00:02,2023-04-10T18:27:59,0.65,Clear,Clear conditions throughout the day.,clear-day,"43087099999,43086099999,remote"
