name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
hydrabad,2023-04-01,33.7,22,28.3,33.1,22,28.2,16.2,50.9,0,0,0,,0,0,25.2,19.4,319.6,1011.2,38.2,5.8,320,27.6,10,10,2023-04-01T06:11:14,2023-04-01T18:29:26,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-02,34.4,21,28.5,33.1,21,28.7,17,54,0,0,0,,0,0,28.1,15.7,82.8,1011,46.2,5.8,318.7,27.5,10,30,2023-04-02T06:10:27,2023-04-02T18:29:37,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-03,35.5,23,29.2,34.6,23,29.5,18.1,55.1,0.3,100,8.33,rain,0,0,35.6,16.6,136.9,1010.7,39.4,5.8,319.4,27.6,10,30,2023-04-03T06:09:40,2023-04-03T18:29:49,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-04,36.2,23,29.3,35.4,23,29.3,16.5,50.8,0,0,0,,0,0,37.1,17,158.1,1011.7,33.9,6.1,298.6,25.9,10,30,2023-04-04T06:08:53,2023-04-04T18:30:00,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-05,34.9,23,28.6,35.3,23,29.1,18.7,57.9,0.6,100,4.17,rain,0,0,27.7,16.6,116.7,1011.7,47.5,5.6,284,24.6,10,30,2023-04-05T06:08:07,2023-04-05T18:30:12,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-06,34,25,27.8,37.3,25,28.8,21.1,68.2,18,100,4.17,rain,0,0,30.2,12.1,113.6,1012.7,64.5,4.9,172.6,14.7,10,30,2023-04-06T06:07:21,2023-04-06T18:30:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-07,32.4,22,28,33.7,22,28.7,19.1,60.4,0.1,100,4.17,rain,0,0,33.8,16.6,96.6,1014.6,46.6,5.7,110.9,9.5,6,10,2023-04-07T06:06:35,2023-04-07T18:30:36,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-08,33,23.5,28.1,32.8,23.5,28.1,16.7,52,0.1,100,4.17,rain,0,0,28.1,19.6,71.8,1016.8,23.8,6.1,314.4,27.1,10,10,2023-04-08T06:05:50,2023-04-08T18:30:48,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-09,34.8,22.5,29.2,32.8,22.5,28.4,13.7,43.9,0,0,0,,0,0,31.3,16.2,109.9,1016.9,21,6.1,322.6,27.8,10,10,2023-04-09T06:05:05,2023-04-09T18:31:00,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hydrabad,2023-04-10,35.1,22.5,29.2,33,22.5,28.3,11.5,36.9,0,0,0,,0,0,30.2,16.2,108.1,1015.4,8.3,6.3,327.2,28.3,10,10,2023-04-10T06:04:20,2023-04-10T18:31:12,0.65,Clear,Clear conditions throughout the day.,clear-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
