name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kollahpur,2023-12-25,32.1,17.8,23.9,30.3,17.8,23.6,12.9,53.7,0,0,0,,0,0,13.3,10.1,94,1016.2,24.2,24.1,231,19.9,8,10,2023-12-25T06:41:34,2023-12-25T17:51:47,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
kollahpur,2023-12-26,32.4,18.1,24.2,30.5,18.1,23.9,14.3,58.5,0,0,0,,0,0,16.9,11.9,98.2,1015.7,0.5,21.8,231.7,19.9,8,10,2023-12-26T06:42:01,2023-12-26T17:52:19,0.47,Clear,Clear conditions throughout the day.,clear-day,"remote,43213099999,43168099999"
kollahpur,2023-12-27,32.2,18,24.3,31.1,18,24.1,15.1,60.7,0,0,0,,0,0,23,15.5,104.8,1016,1.7,17.7,232.4,20,8,10,2023-12-27T06:42:28,2023-12-27T17:52:51,0.5,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999,43168099999"
kollahpur,2023-12-28,32.4,17.3,23.9,31.2,17.3,23.6,14.3,60.2,0,0,0,,0,0,33.1,20.2,113.7,1015,34.3,18.1,233.9,20,8,10,2023-12-28T06:42:54,2023-12-28T17:53:25,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999"
kollahpur,2023-12-29,32.4,17,23.7,32.8,17,23.6,14.8,62,0,0,0,,0,0,36.4,20.9,110.8,1015,46.6,18,233,19.9,8,10,2023-12-29T06:43:19,2023-12-29T17:53:58,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollahpur,2023-12-30,31.9,17.6,24,31,17.6,23.7,14.2,59.8,0,0,0,,0,0,21.6,13.3,108.5,1014.3,11.1,17.9,235.3,20.2,8,10,2023-12-30T06:43:43,2023-12-30T17:54:32,0.6,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999,43168099999"
kollahpur,2023-12-31,31.7,17.8,23.9,30.6,17.8,23.6,13.9,57.8,0,0,0,,0,0,31.3,15.5,119.2,1013.9,16.4,18.1,234.2,20.2,8,10,2023-12-31T06:44:07,2023-12-31T17:55:07,0.64,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999,43168099999"
kollahpur,2024-01-01,31.4,17.6,23.5,30.4,17.6,23.3,15.3,64.2,0,0,0,,0,0,32.8,20.9,115,1014.1,56.3,18.1,230.7,19.9,8,10,2024-01-01T06:44:30,2024-01-01T17:55:41,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollahpur,2024-01-02,31.1,17.7,23.7,30.1,17.7,23.4,14.4,60.1,0,0,0,,0,0,38.2,24.1,114.6,1013.3,20.8,17.8,230.3,20,8,10,2024-01-02T06:44:51,2024-01-02T17:56:16,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollahpur,2024-01-03,30.2,17.9,23.9,30.1,17.9,23.8,15.6,63.1,0,0,0,,0,0,38.2,22.7,117.6,1012.9,43.1,18.1,224.6,19.3,8,10,2024-01-03T06:45:12,2024-01-03T17:56:52,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
