name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kollapur,2023-04-01,38.9,26.7,32.3,38.7,26.7,31.6,12.7,33.7,0,0,0,,0,0,31,15.8,191.4,1006.5,45.4,18.3,320.8,27.7,10,10,2023-04-01T06:12:17,2023-04-01T18:29:34,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollapur,2023-04-02,39.4,26.8,32.3,37.7,27.9,32.4,15.5,41,0,0,0,,0,0,31.7,26.3,131.8,1006.4,36.5,18.3,318.5,27.7,10,30,2023-04-02T06:11:32,2023-04-02T18:29:44,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollapur,2023-04-03,39.4,27.3,32.5,39.2,28.8,32.8,15.7,41.3,0,0,0,,0,0,33.5,24.8,162.2,1006.4,36,18.3,319.4,27.7,10,30,2023-04-03T06:10:47,2023-04-03T18:29:53,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollapur,2023-04-04,39.4,26.8,32.8,42.5,28.3,33.8,17.5,44,0,0,0,,0,0,35.6,23.8,148.3,1007.2,50.7,18.3,316.7,27.4,10,30,2023-04-04T06:10:03,2023-04-04T18:30:02,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollapur,2023-04-05,40.7,27.4,32.9,42.6,29.1,33.6,17.2,43.4,0,0,0,,0,0,36.7,24.8,131,1007,18.7,18.3,318.5,27.5,10,30,2023-04-05T06:09:19,2023-04-05T18:30:12,0.47,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999,43168099999"
kollapur,2023-04-06,39.4,27.4,32.9,40,29.5,34.3,18.3,45.3,0,0,0,,0,0,28.4,31.7,109.8,1007.8,56.9,18.3,273.5,23.6,10,60,2023-04-06T06:08:35,2023-04-06T18:30:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollapur,2023-04-07,38.9,27.4,32.4,39.8,28.6,32.7,16.1,40.1,0,0,0,,0,0,33.5,25.6,117.9,1009.7,81.9,18.4,186,16,10,10,2023-04-07T06:07:51,2023-04-07T18:30:31,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999,43168099999"
kollapur,2023-04-08,39.7,26.1,32.2,40.2,26.1,32.1,14.8,38.2,0,0,0,,0,0,35.6,27,119,1011.4,14.7,18.5,320.3,27.7,10,10,2023-04-08T06:07:08,2023-04-08T18:30:41,0.57,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
kollapur,2023-04-09,38.4,25.4,31.8,38.9,25.4,31,12.6,34,0,0,0,,0,0,37.4,24.5,121.8,1012,0.8,18.4,324.8,28,10,10,2023-04-09T06:06:25,2023-04-09T18:30:51,0.61,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999"
kollapur,2023-04-10,40.2,25.2,32.4,38.3,25.2,31.1,9.9,28.2,0,0,0,,0,0,36.4,22.7,126.8,1010.6,3.4,18.3,329,28.3,10,10,2023-04-10T06:05:42,2023-04-10T18:31:01,0.65,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999,43168099999"
