name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
agartala,2023-04-01,28,20,23.7,30.7,20,24.1,20.6,83.5,20,100,8.33,rain,0,0,30.2,10.1,161.7,1009.1,73.8,8.7,153.3,13.1,8,10,2023-04-01T05:17:30,2023-04-01T17:40:35,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-02,31,19.6,25.5,33.8,19.6,26.6,20.6,76.5,14,100,8.33,rain,0,0,22,13,216.6,1007.4,50.4,9.1,265.2,22.8,10,10,2023-04-02T05:16:31,2023-04-02T17:40:59,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-03,32,21,26.4,35.8,21,27.5,20.6,72.9,0.3,100,8.33,rain,0,0,35.6,11.5,203.6,1007.3,43.6,9.2,199.7,17.2,9,10,2023-04-03T05:15:32,2023-04-03T17:41:22,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-04,33,20.7,26.4,39.3,20.7,28.2,21.7,76.4,3,100,4.17,rain,0,0,40.3,16.6,180.3,1007.8,46.3,8.9,266.2,23.1,10,30,2023-04-04T05:14:34,2023-04-04T17:41:46,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-05,33,22.9,27.6,40.7,22.9,30.9,23.4,78.6,0.3,100,4.17,rain,0,0,34.6,13,181,1007.6,42.1,9.6,241.4,20.7,10,60,2023-04-05T05:13:35,2023-04-05T17:42:10,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-06,34,22.2,26.9,39.4,22.2,28.9,22,76.3,2,100,4.17,rain,0,0,20.9,32.7,108.7,1010.2,35.8,8.8,305.2,26.2,10,60,2023-04-06T05:12:37,2023-04-06T17:42:33,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-07,35,20,28,39,20,29.9,19.5,62.8,0,0,0,,0,0,18,9.4,46.5,1011.5,25.9,9,317.3,27.5,10,10,2023-04-07T05:11:40,2023-04-07T17:42:57,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-08,36,20.1,28.3,35.8,20.1,28.9,16.8,54.2,0,0,0,,0,0,14.4,9.4,68.8,1012.4,8.8,9.2,317.3,27.3,10,10,2023-04-08T05:10:42,2023-04-08T17:43:21,0.57,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-09,37,21,29.2,36.5,21,30,17.3,52.8,0,0,0,,0,0,13,7.6,282.4,1011.5,6.1,8.9,317.3,27.5,10,10,2023-04-09T05:09:45,2023-04-09T17:43:45,0.61,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
agartala,2023-04-10,36,21.9,29.1,37.4,21.9,30.1,17.6,53.6,0,0,0,,0,0,15.1,11.2,356.8,1010.1,5.1,8.9,315.5,27.4,10,10,2023-04-10T05:08:48,2023-04-10T17:44:09,0.65,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
