name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dharmanagar,2023-04-01,28.2,19.8,22,28.8,19.8,22.1,19.7,87.4,8,100,8.33,rain,0,0,32.8,14.8,237.5,1009.7,76.6,9.8,140.1,12,7,30,2023-04-01T05:13:49,2023-04-01T17:37:20,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-02,30.7,18.3,23.2,31.1,18.3,23.3,18.2,76.5,3.4,100,37.5,rain,0,0,29.5,22,200.3,1008.3,56.5,11.9,282.1,24.5,10,10,2023-04-02T05:12:48,2023-04-02T17:37:44,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-03,32.9,17.9,22.6,31.6,17.9,22.7,18.4,79.5,10,100,8.33,rain,0,0,25.6,11.2,218.8,1008.7,45.2,12.8,290.8,25.2,10,10,2023-04-03T05:11:48,2023-04-03T17:38:09,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-04,33.3,18,24.9,33.8,18,25.3,18.3,69.6,1.3,100,12.5,rain,0,0,27.4,18.4,297.4,1008.6,49.6,13.3,273.4,23.4,10,10,2023-04-04T05:10:49,2023-04-04T17:38:34,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-05,34.3,18.9,24.3,35.1,18.9,24.8,20,79.2,31,100,8.33,rain,0,0,28.8,14.8,159.6,1008.7,43.8,13.3,253.2,22,10,30,2023-04-05T05:09:49,2023-04-05T17:38:59,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-06,32.9,19.3,25.4,36.2,19.3,26.3,19.7,74.1,1.3,100,16.67,rain,0,0,20.5,14.8,4,1011.1,38.8,12.3,310.2,26.6,10,10,2023-04-06T05:08:50,2023-04-06T17:39:23,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-07,34.5,19.2,26.3,35.7,19.2,26.3,15.2,57.3,0,0,0,,0,0,11.2,11.2,19.4,1012.3,12.9,13.4,318.1,27.4,10,10,2023-04-07T05:07:51,2023-04-07T17:39:48,0.54,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-08,34.8,18.6,26.5,37.5,18.6,26.2,13.2,49.5,0,0,0,,0,0,14.8,11.2,8.3,1013.4,13.6,12.6,320.7,27.6,10,10,2023-04-08T05:06:53,2023-04-08T17:40:13,0.57,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-09,35.7,19.1,27.1,37.5,19.1,26.9,13.7,48.5,0,0,0,,0,0,18,14.8,332.5,1012.6,9.6,12.7,318.4,27.5,10,10,2023-04-09T05:05:55,2023-04-09T17:40:38,0.61,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-10,36.1,20.4,27.5,36.6,20.4,27.6,15.5,51.3,0,0,0,,0,0,18.4,11.2,0.6,1011.2,15.8,11,316.6,27.4,10,10,2023-04-10T05:04:57,2023-04-10T17:41:04,0.65,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-11,36.1,20.6,27.8,39.7,20.6,27.9,14.8,49.1,0,0,0,,0,0,18.4,9.4,12.2,1010.8,11,12.5,319.3,27.6,10,10,2023-04-11T05:04:00,2023-04-11T17:41:29,0.68,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-12,37.1,20.9,28.1,37.2,20.9,28.1,14,47.1,0,0,0,,0,0,19.1,13,18.5,1009.5,14.7,12.4,327.5,28.4,10,10,2023-04-12T05:03:03,2023-04-12T17:41:54,0.72,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-13,38.5,20.6,28.5,38.9,20.6,28.6,14,46.1,0,0,0,,0,0,16.9,11.2,165.6,1008.4,4.3,12.6,325,28,10,10,2023-04-13T05:02:07,2023-04-13T17:42:20,0.75,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-14,39.7,21.3,29.4,43.1,21.3,29.5,14.4,44.7,0,0,0,,0,0,22.3,14.8,151.1,1008.2,8.8,12.8,318.2,27.4,10,10,2023-04-14T05:01:11,2023-04-14T17:42:45,0.79,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-15,37.4,22.5,29.5,44.1,22.5,30.9,16.3,49,0,0,0,,0,0,14.4,9.4,70.5,1008,69.8,12.5,239.7,20.7,9,10,2023-04-15T05:00:16,2023-04-15T17:43:11,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-16,39.7,22.7,30.4,44.1,22.7,31.5,15.4,45.7,0,0,0,,0,0,21.6,16.6,220.5,1006.3,58.1,12.4,309.1,26.7,10,10,2023-04-16T04:59:21,2023-04-16T17:43:37,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-17,37.1,23.3,30.3,45.3,23.3,32.7,19.9,56.6,0,0,0,,0,0,25.2,14.8,203,1007.7,22.3,11.6,306.3,26.3,10,60,2023-04-17T04:58:27,2023-04-17T17:44:03,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-18,37.1,24.4,30.1,45.8,24.4,33.1,21,60.1,0,0,0,,0,0,27.7,7.6,202.2,1008.6,26.6,10.9,305.3,26.4,10,30,2023-04-18T04:57:33,2023-04-18T17:44:30,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-19,36.1,24.1,30,44.6,24.1,32.6,21,60.7,0,0,0,,0,0,30.6,14.8,206.9,1005.6,23.8,10.2,314.8,27.3,10,60,2023-04-19T04:56:40,2023-04-19T17:44:56,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-20,37.1,21.6,28.5,42.8,21.6,30.2,20.3,64.2,0.8,100,16.67,rain,0,0,51.8,19.8,144.4,1003.4,32.8,12.2,303.3,26.3,10,60,2023-04-20T04:55:47,2023-04-20T17:45:23,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-21,28.8,21.1,23.7,32,21.1,24,20.2,81.2,23,100,8.33,rain,0,0,52.6,22,67.6,1005.2,72.1,10.8,261.5,22.6,10,100,2023-04-21T04:54:56,2023-04-21T17:45:50,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-22,34.1,21,26.5,36.2,21,27.1,19.2,68,5,100,4.17,rain,0,0,34.2,14.8,121,1005.9,61.3,11.4,312.9,27,10,30,2023-04-22T04:54:05,2023-04-22T17:46:17,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-23,26.8,19.8,22.2,28.9,19.8,22.3,19.6,85.6,13,100,4.17,rain,0,0,47.9,16.6,66.5,1009,72.5,12.7,110.7,9.6,5,30,2023-04-23T04:53:14,2023-04-23T17:46:44,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-24,33.2,18.9,25.6,39.7,18.9,26.7,19.5,71.6,0.2,100,8.33,rain,0,0,15.8,11.2,16.8,1011.2,42.4,11.5,322.4,27.8,10,10,2023-04-24T04:52:25,2023-04-24T17:47:11,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-25,34.1,21.2,27.5,36.8,21.2,28.2,18.7,61.5,0,0,0,,0,0,16.2,13,280.4,1010.5,24,12,313.5,27.2,10,10,2023-04-25T04:51:36,2023-04-25T17:47:39,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-26,35.4,21.8,27.5,35.9,21.8,28.2,18.3,60.1,0,0,0,,0,0,21.6,12.6,316.5,1009.2,45.1,11.6,311.3,26.7,10,10,2023-04-26T04:50:48,2023-04-26T17:48:06,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-27,37.3,21.7,28.2,38.8,21.7,29,17.1,54,0,0,0,,0,0,15.1,13,33,1009,44.7,12.5,326.3,28.3,10,10,2023-04-27T04:50:00,2023-04-27T17:48:34,0.23,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-28,33.4,20.5,27.4,35.9,20.5,28.1,18,58.1,0.1,100,4.17,rain,0,0,15.1,9.4,254.3,1009.8,54,11.6,311,26.8,9,10,2023-04-28T04:49:14,2023-04-28T17:49:02,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-29,35.1,21.2,28.1,39.4,21.2,29,18.3,58.9,0.6,100,8.33,rain,0,0,15.1,14.7,14,1008.8,35.3,11.4,315.6,27.1,10,10,2023-04-29T04:48:28,2023-04-29T17:49:30,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-04-30,36.1,21.9,28.3,37.1,21.9,29.1,18.4,57.6,0,0,0,,0,0,10.8,9.7,326.5,1007.5,61.5,12.4,286.8,24.9,9,10,2023-04-30T04:47:43,2023-04-30T17:49:59,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-05-01,35.7,23.1,28.1,37.1,23.1,29.2,19.8,63,1.2,100,12.5,rain,0,0,49,19.1,281.8,1008.4,81.5,11.6,299.5,26,10,30,2023-05-01T04:47:00,2023-05-01T17:50:27,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-05-02,34.4,23.4,28.4,38.2,23.4,29.2,19.2,60,17,100,4.17,rain,0,0,20.2,9.4,339.1,1009.5,67.7,11.6,266.2,23.4,10,10,2023-05-02T04:46:17,2023-05-02T17:50:56,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-05-03,32.4,22.8,27.5,35.1,22.8,28.3,19.2,62.4,0.1,100,4.17,rain,0,0,17.3,7.6,211.2,1010.5,81.1,11.6,287.1,24.9,9,10,2023-05-03T04:45:34,2023-05-03T17:51:25,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-05-04,30.7,22.4,25.7,34,22.4,26.6,21.2,77,2.9,100,33.33,rain,0,0,19.4,15.5,353.8,1010,73.8,11.6,193.4,16.7,9,10,2023-05-04T04:44:53,2023-05-04T17:51:54,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
dharmanagar,2023-05-05,34.2,21.3,27,36.6,21.3,28.6,21.6,74.2,6,100,4.17,rain,0,0,19.1,16.6,207.5,1006.9,45.2,12.4,294.9,25.6,10,10,2023-05-05T04:44:13,2023-05-05T17:52:23,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42618099999,41915099999,42726099999,42619099999,41891099999,remote"
