name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bageshwar,2023-04-01,12.8,4.9,9.5,12.8,4.9,9.5,7.4,87.1,2,100,29.17,rain,0,0,9.4,7.2,109.2,1013.3,87.6,20,58.6,5,2,10,2023-04-01T06:01:02,2023-04-01T18:29:18,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,42147099999"
bageshwar,2023-04-02,20.1,7.1,12.1,20.1,7.1,12.1,6.8,72.6,0.3,100,12.5,rain,0,0,22.7,17.6,263.8,1010.2,30,20.6,261.1,22.6,9,10,2023-04-02T05:59:51,2023-04-02T18:29:53,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"remote,42147099999"
bageshwar,2023-04-03,22.7,8.3,14,22.7,8.3,14,5.7,60.8,0,0,0,,0,0,32.8,23.4,275.6,1009.9,18.1,20.6,291.2,25.1,10,10,2023-04-03T05:58:40,2023-04-03T18:30:29,0.41,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
bageshwar,2023-04-04,16.4,9.1,12.1,16.4,9.1,12.1,5.5,64.9,0.7,100,20.83,rain,0,0,16.6,10.1,348.5,1013.1,60.1,20.1,132.1,11.6,6,10,2023-04-04T05:57:29,2023-04-04T18:31:05,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,42147099999"
bageshwar,2023-04-05,24.1,7.7,14.1,24.1,7.7,14.1,1.6,48.9,0,0,0,,0,0,19.8,16.9,271.2,1012.1,0.4,20.7,311.1,26.7,10,10,2023-04-05T05:56:18,2023-04-05T18:31:41,0.47,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
bageshwar,2023-04-06,24.6,8.7,15.1,24.6,8.7,15.1,0,37.9,0,0,0,,0,0,20.9,16.2,277.5,1013.9,16.2,20.7,306.4,26.5,10,10,2023-04-06T05:55:08,2023-04-06T18:32:17,0.5,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
bageshwar,2023-04-07,26.4,9.7,16.5,26.4,9.7,16.5,2.2,40.7,0,0,0,,0,0,17.3,17.3,274.7,1015.4,1.3,20.6,313.1,27,10,10,2023-04-07T05:53:58,2023-04-07T18:32:53,0.54,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
bageshwar,2023-04-08,26.7,10.4,16.6,26.7,10.4,16.6,2.9,42.9,0.8,100,12.5,rain,0,0,23.4,15.8,235.6,1017,17.3,19.8,308.3,26.6,10,10,2023-04-08T05:52:49,2023-04-08T18:33:29,0.57,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"remote,42147099999"
bageshwar,2023-04-09,26.7,10,16.4,26.7,10,16.4,3.6,47.1,0.1,100,4.17,rain,0,0,19.1,14.8,317.7,1017.3,12.8,20.5,306,26.4,10,10,2023-04-09T05:51:39,2023-04-09T18:34:06,0.61,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"remote,42147099999"
bageshwar,2023-04-10,27.5,10.5,17,26.7,10.5,16.9,0.3,35.7,0,0,0,,0,0,22.3,17.3,280.2,1015.2,9.7,20.5,316,27.4,10,10,2023-04-10T05:50:31,2023-04-10T18:34:42,0.65,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
bageshwar,2023-04-11,27.9,11,18.1,26.5,11,17.9,-0.8,30,0,0,0,,0,0,19.1,19.1,272.2,1014.3,19.2,20.6,312.9,27.2,10,10,2023-04-11T05:49:22,2023-04-11T18:35:18,0.68,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
bageshwar,2023-04-12,29.1,11.7,18.9,27.4,11.7,18.6,-0.7,29,0,0,0,,0,0,25.2,17.3,271.9,1013.8,17.4,20.6,319.8,27.7,10,10,2023-04-12T05:48:15,2023-04-12T18:35:55,0.72,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
bageshwar,2023-04-13,30.8,12.3,19.9,28.7,12.3,19.5,0.1,28.8,0,0,0,,0,0,27.4,16.9,272.8,1012.5,12.3,20.6,319.9,27.8,10,10,2023-04-13T05:47:07,2023-04-13T18:36:31,0.75,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
bageshwar,2023-04-14,31.4,13.1,20.5,29.2,13.1,20.1,0.5,28.3,0,0,0,,0,0,15.5,10.4,264.7,1012.1,28.5,20.5,315.5,27.3,10,10,2023-04-14T05:46:01,2023-04-14T18:37:08,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,42147099999"
bageshwar,2023-04-15,31.7,14.7,20.7,29.5,14.7,20.3,2.3,32,0.5,100,12.5,rain,0,0,19.8,19.4,277.4,1012.3,67.2,20.5,303.5,26.1,10,10,2023-04-15T05:44:55,2023-04-15T18:37:44,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,42147099999"
bageshwar,2023-04-16,30,12.9,20.7,28.1,12.9,20.3,0.8,30,0,0,0,,0,0,37.1,21.6,270,1011.6,21.5,21.4,320.8,27.8,10,10,2023-04-16T05:43:49,2023-04-16T18:38:21,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,42147099999"
bageshwar,2023-04-17,30.9,13.6,20.9,28.8,13.6,20.5,0.4,27.1,0,0,0,,0,0,19.1,19.1,273.2,1011.2,8.2,20.5,321.6,27.6,10,10,2023-04-17T05:42:44,2023-04-17T18:38:58,0.9,Clear,Clear conditions throughout the day.,clear-day,"remote,42147099999"
