name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
haridwar,2023-04-01,25.1,13.7,18.9,25.1,13.7,18.9,11.7,66,11,100,8.33,rain,0,0,14.8,9.4,91.2,1009.7,78.5,16.5,156.5,13.7,8,10,2023-04-01T06:07:35,2023-04-01T18:35:56,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-02,28.3,13.2,20.4,27.3,13.2,20.3,11.7,60.6,0.4,100,4.17,rain,0,0,27.7,19.1,308.9,1008.2,15,17,267.6,23.3,9,10,2023-04-02T06:06:24,2023-04-02T18:36:32,0.37,Rain,Clear conditions throughout the day with early morning rain.,rain,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-03,30.6,14.9,22.4,28.9,14.9,22.1,11.1,52.1,0,0,0,,0,0,23,18.4,331.8,1006.6,41.1,17.9,255.9,22.1,9,10,2023-04-03T06:05:13,2023-04-03T18:37:08,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-04,29.8,16.1,21.9,28.2,16.1,21.6,10.7,52.5,0.3,100,12.5,rain,0,0,16.9,12.2,345.5,1008.6,36.7,16.9,258.1,22.4,9,10,2023-04-04T06:04:02,2023-04-04T18:37:44,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-05,31.4,13.9,22.3,29.2,13.9,21.9,5.2,39.3,0,0,0,,0,0,24.8,22,328.2,1009.2,5,18,283.8,24.4,9,10,2023-04-05T06:02:51,2023-04-05T18:38:20,0.47,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-06,32.3,15.9,23.2,30,15.9,22.7,2.8,30.8,0,0,0,,0,0,41.8,25.9,314.8,1011.1,26,17.9,273.3,23.7,9,10,2023-04-06T06:01:40,2023-04-06T18:38:57,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-07,33,15.1,23.5,30.6,15.1,22.9,5.2,35.3,0,0,0,,0,0,19.1,13.3,311.1,1012.3,0.8,17.1,284.6,24.6,9,10,2023-04-07T06:00:30,2023-04-07T18:39:33,0.54,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-08,33.8,15.9,24.3,31.3,15.9,23.7,5.3,33.9,0,0,0,,0,0,9.7,11.5,190.8,1013.1,2.4,17,285.8,24.7,9,10,2023-04-08T05:59:20,2023-04-08T18:40:09,0.57,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-09,33.9,15.7,24.9,31.3,15.7,24.3,3.7,30.5,0,0,0,,0,0,16.9,15.5,314.1,1013.2,1.9,18,287.7,24.9,9,10,2023-04-09T05:58:11,2023-04-09T18:40:45,0.61,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-10,35.1,15.7,25.3,32.3,15.7,24.6,3.8,31,0,0,0,,0,0,19.1,20.9,317.1,1011.1,12,16.9,288.1,25,9,10,2023-04-10T05:57:02,2023-04-10T18:41:22,0.65,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-11,36.2,16.1,26.4,33.4,16.1,25.4,4.1,28.4,0,0,0,,0,0,48.2,27.7,305,1010,40.2,17.9,277.5,24,8,10,2023-04-11T05:55:54,2023-04-11T18:41:58,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-12,37.4,17.1,27.1,34.4,17.1,26.2,5.1,29,0,0,0,,0,0,21.6,20.2,310.2,1009.5,33.3,17.8,287.1,24.9,9,10,2023-04-12T05:54:46,2023-04-12T18:42:35,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-13,38.4,18.2,27.8,35.3,18.2,26.8,5.4,29.8,0,0,0,,0,0,33.1,22.3,305.7,1008.2,2.8,16.9,289.1,25,9,10,2023-04-13T05:53:38,2023-04-13T18:43:12,0.75,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-14,38.8,19.1,28.6,35.6,19.1,27.5,5.5,28.7,0,0,0,,0,0,9.7,10.4,320.2,1007.3,1.6,16.8,290.7,25.1,9,10,2023-04-14T05:52:31,2023-04-14T18:43:48,0.79,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-15,39.3,20.1,29.5,36,20.1,28.3,5.4,26.8,0,0,0,,0,0,13.7,12.6,308.4,1006.9,33.7,16.9,288.5,25,9,10,2023-04-15T05:51:25,2023-04-15T18:44:25,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-16,39.7,18.9,29.6,36.3,18.9,28.3,4.4,25.7,0,0,0,,0,0,26.6,20.5,334.9,1006.3,40.4,17.8,279.3,24.1,9,10,2023-04-16T05:50:19,2023-04-16T18:45:02,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-17,40.1,19.9,30,36.8,19.9,28.7,5.1,25,0,0,0,,0,0,15.1,15.5,321.4,1005.7,13.6,17.7,291.4,25.3,9,10,2023-04-17T05:49:14,2023-04-17T18:45:39,0.9,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
haridwar,2023-04-18,40.2,20.4,30.6,37.3,20.4,29.5,7.3,26.9,0.3,100,8.33,rain,0,0,42.1,27.4,330.9,1006.9,49.7,18.2,276.8,23.8,9,10,2023-04-18T05:48:10,2023-04-18T18:46:16,0.93,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"42114099999,42111099999,remote,42143099999"
