name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kedarnath,2023-04-01,12.9,-10.9,-3.8,12.9,-19.1,-7,-5.2,91,11.4,100,79.17,snow,6.7,64.5,20.5,23.4,200.3,1014.7,91.3,2.7,153.8,13.2,6,10,2023-04-01T06:03:27,2023-04-01T18:32:32,0.34,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"42114099999,remote"
kedarnath,2023-04-02,15.4,-11.1,-4.6,15.4,-19.5,-10.1,-8.1,77.4,3.8,100,33.33,snow,0.6,46.6,18.4,24.8,358.3,1015.2,58.4,12.9,280,24.2,10,10,2023-04-02T06:02:14,2023-04-02T18:33:10,0.37,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"42114099999,remote"
kedarnath,2023-04-03,17.9,-11.1,-3.7,17.9,-19.9,-8.8,-8.5,71.9,10.9,100,45.83,snow,10.3,45.4,18.7,24.5,348.1,1017.2,67.6,11.2,255.6,21.9,10,10,2023-04-03T06:01:00,2023-04-03T18:33:48,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"42114099999,remote"
kedarnath,2023-04-04,15.4,-12,-4.2,15.4,-21.4,-9.3,-7.9,77.6,12.9,100,45.83,snow,11.9,51.3,20.2,25.9,25.2,1019,82.9,9.8,242.3,20.9,10,10,2023-04-04T05:59:48,2023-04-04T18:34:25,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"42114099999,remote"
kedarnath,2023-04-05,17.9,-13.4,-5,17.9,-23.9,-10.6,-12.1,60.1,0.8,100,16.67,snow,0.7,50.6,20.5,29.9,17.5,1021.1,35.8,16.2,334.8,28.8,10,10,2023-04-05T05:58:35,2023-04-05T18:35:03,0.47,"Snow, Partially cloudy",Becoming cloudy in the afternoon with snow.,snow,"42114099999,remote"
kedarnath,2023-04-06,19.2,-11.1,-4,19.2,-20.1,-9.6,-11.3,60.1,3.7,100,29.17,snow,3,47.7,18.7,25.9,23.8,1023.3,71.2,15.9,275.3,23.7,10,10,2023-04-06T05:57:23,2023-04-06T18:35:41,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"42114099999,remote"
kedarnath,2023-04-07,21.2,-11.5,-3.2,21.2,-21.4,-9.1,-12.3,51.3,0.7,100,20.83,snow,0.1,46.7,20.5,29.5,18.7,1026.4,14.2,18.8,333.3,28.9,10,10,2023-04-07T05:56:11,2023-04-07T18:36:19,0.54,Snow,Clear conditions throughout the day with snow.,snow,"42114099999,remote"
kedarnath,2023-04-08,22.4,-11.2,-2.7,22.4,-21.4,-8.9,-13.6,45.1,0.5,100,12.5,snow,0,44.1,21.6,32,18.3,1028.7,14.4,20.1,334.7,28.9,10,10,2023-04-08T05:54:59,2023-04-08T18:36:57,0.57,Snow,Clear conditions throughout the day with snow.,rain,"42114099999,remote"
kedarnath,2023-04-09,21.9,-10.4,-2.4,21.9,-20,-7.5,-9.5,61.7,8.4,100,37.5,snow,5.7,43.7,20.5,29.5,10.3,1027.7,32.1,14,277.6,24,10,10,2023-04-09T05:53:48,2023-04-09T18:37:36,0.61,"Snow, Partially cloudy",Becoming cloudy in the afternoon with snow.,snow,"42114099999,remote"
kedarnath,2023-04-10,19.9,-9.5,-3.1,19.9,-18.5,-8.4,-9,65.7,4.7,100,41.67,snow,2.7,46.9,19.4,27.4,11.3,1025.8,38.6,13.9,295.7,25.7,10,10,2023-04-10T05:52:38,2023-04-10T18:38:14,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"42114099999,remote"
kedarnath,2023-04-11,22.9,-9.1,-1.1,22.9,-18.3,-5.9,-8.1,61.4,1.1,100,20.83,snow,0.3,43.7,20.5,29.2,16.8,1025.9,55.9,16.3,329,28.4,10,10,2023-04-11T05:51:28,2023-04-11T18:38:52,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"42114099999,remote"
kedarnath,2023-04-12,24.1,-9,-0.8,24.1,-18,-5.5,-9.2,55,0.8,100,20.83,"rain,snow",0.1,38.9,19.8,28.1,15.7,1026.3,56.9,19.5,322,27.9,10,10,2023-04-12T05:50:18,2023-04-12T18:39:30,0.72,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"42114099999,remote"
kedarnath,2023-04-13,24.4,-7.6,0.3,24.4,-16,-4,-6.6,62.6,3.2,100,25,snow,0.7,35.5,19.1,26.6,15.5,1025.4,29.9,15.7,294.2,25.5,10,10,2023-04-13T05:49:09,2023-04-13T18:40:09,0.75,"Snow, Partially cloudy",Becoming cloudy in the afternoon with snow.,snow,"42114099999,remote"
kedarnath,2023-04-14,24.1,-6.4,1.2,24.1,-14.5,-3.2,-5.5,63,1.1,100,25,"rain,snow",0,31.7,19.4,27.4,18.7,1025.3,21.2,17.2,332.3,28.6,10,10,2023-04-14T05:48:00,2023-04-14T18:40:47,0.79,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"42114099999,remote"
kedarnath,2023-04-15,25.1,-5.9,1,25.1,-13.8,-3.7,-7,58.6,8.1,100,33.33,"rain,snow",0.9,27.6,25.2,27.7,18.3,1026,74.9,17.1,262.8,22.7,10,10,2023-04-15T05:46:52,2023-04-15T18:41:26,0.82,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"42114099999,remote"
kedarnath,2023-04-16,23.9,-8,-0.9,23.9,-16.5,-4.8,-7.5,64.6,1.3,100,29.17,"rain,snow",0.5,25.9,19.4,27.7,16.2,1025.6,48.1,16.1,317.8,27.3,10,10,2023-04-16T05:45:45,2023-04-16T18:42:04,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"42114099999,remote"
kedarnath,2023-04-17,26.1,-6.2,1.5,26.1,-14.1,-2.3,-4.7,67.7,2.1,100,29.17,"rain,snow",0.4,21.3,19.4,26.3,14.4,1024.9,43.6,14.9,302.1,26,10,10,2023-04-17T05:44:38,2023-04-17T18:42:43,0.9,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"42114099999,remote"
kedarnath,2023-04-18,26.1,-5.1,0.9,26.1,-12.3,-2.8,-3.4,77,11.3,100,50,snow,6.8,20.5,18,23.4,20.8,1025.5,63.1,11.8,262.7,22.7,10,10,2023-04-18T05:43:31,2023-04-18T18:43:22,0.93,"Snow, Partially cloudy",Becoming cloudy in the afternoon with snow.,snow,"42114099999,remote"
kedarnath,2023-04-19,18.2,-5.2,-0.6,18.2,-10.8,-4.2,-3,85.4,14.4,100,75,"rain,snow",7,31.3,24.5,24.5,265,1022.1,97.9,9.3,162.4,14.1,6,10,2023-04-19T05:42:26,2023-04-19T18:44:01,0.97,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"42114099999,remote"
kedarnath,2023-04-20,18.1,-6.9,-0.7,18.1,-13.5,-5,-1.6,94.5,44.5,100,79.17,snow,27.6,69.4,26.3,26.3,181.2,1016,97.5,1.8,125.3,10.8,7,10,2023-04-20T05:41:21,2023-04-20T18:44:40,0,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"42114099999,remote"
kedarnath,2023-04-21,19.1,-10.8,-3.1,19.1,-19.3,-7.9,-6.9,77.7,12.4,100,54.17,snow,10.9,65.5,26.3,23,35.5,1017.5,76.5,9.4,259.4,22.5,10,10,2023-04-21T05:40:17,2023-04-21T18:45:19,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"42114099999,remote"
