name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
nainital,2023-04-01,13.6,7.5,10.1,13.6,7.5,9.6,7.7,85.5,4.6,100,41.67,rain,0,0,10.8,8.3,61.3,1012.5,74.4,18.7,69.4,6.1,3,10,2023-04-01T06:02:31,2023-04-01T18:30:22,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42148099999,remote,42147099999"
nainital,2023-04-02,18.2,7.8,12.3,18.2,7.8,12.3,7,72.1,0.1,100,4.17,rain,0,0,20.5,13.3,284,1010.1,13,20.7,281,24.1,10,10,2023-04-02T06:01:20,2023-04-02T18:30:57,0.37,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42148099999,remote,42147099999"
nainital,2023-04-03,21.3,9.3,14.7,21.3,8.2,14.5,6.3,59.6,0,0,0,,0,0,23,15.1,309.9,1009.4,24.5,20.6,285,24.7,10,10,2023-04-03T06:00:10,2023-04-03T18:31:32,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42148099999,remote,42147099999"
nainital,2023-04-04,16.1,10.2,12.8,16.1,10.2,12.8,6.2,64.9,1.3,100,25,rain,0,0,17.6,11.5,49,1012.1,52.4,20.4,137.4,11.8,5,10,2023-04-04T05:59:00,2023-04-04T18:32:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42148099999,remote,42147099999"
nainital,2023-04-05,22,8.9,14.6,22,7.8,14.3,1.2,45.9,0,0,0,,0,0,13,11.5,342.2,1011.7,0.4,20.7,307.8,26.7,10,10,2023-04-05T05:57:50,2023-04-05T18:32:42,0.47,Clear,Clear conditions throughout the day.,clear-day,"42148099999,remote,42147099999"
nainital,2023-04-06,22.7,10,15.6,22.7,9,15.6,-1.1,32.8,0,0,0,,0,0,13.7,12.6,330.2,1013.5,14.4,20.7,303.1,26,10,10,2023-04-06T05:56:41,2023-04-06T18:33:17,0.5,Clear,Clear conditions throughout the day.,clear-day,"42148099999,remote,42147099999"
nainital,2023-04-07,24.5,11,17,24.5,11,17,1.6,36.6,0,0,0,,0,0,11.2,13,332.5,1015,1.3,20.6,306.5,26.5,10,10,2023-04-07T05:55:32,2023-04-07T18:33:52,0.54,Clear,Clear conditions throughout the day.,clear-day,"42148099999,remote,42147099999"
nainital,2023-04-08,24.7,12.1,17.4,24.7,12.1,17.4,2,36.8,0.1,100,4.17,rain,0,0,12.6,13,129.9,1016.4,10.8,20.6,303.8,26.2,10,10,2023-04-08T05:54:24,2023-04-08T18:34:27,0.57,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"42148099999,remote,42147099999"
nainital,2023-04-09,25.2,11.8,17.6,25.2,11.8,17.6,0.2,32.4,0,0,0,,0,0,14,16.6,51.8,1016.5,6.3,20.6,309.2,26.8,10,10,2023-04-09T05:53:15,2023-04-09T18:35:02,0.61,Clear,Clear conditions throughout the day.,clear-day,"42148099999,remote,42147099999"
nainital,2023-04-10,25.6,12.2,17.8,25.6,12.2,17.8,-0.8,30,0,0,0,,0,0,14.4,15.1,308.9,1014.4,14.7,20.6,304.3,26.3,10,10,2023-04-10T05:52:08,2023-04-10T18:35:38,0.65,Clear,Clear conditions throughout the day.,clear-day,"42148099999,remote,42147099999"
