name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
rishikesh,2023-12-25,22.3,10.9,15.4,22.3,10.9,15.4,3,44.8,0,0,0,,0,0,7.2,8.6,84.7,1018.7,0.7,24.1,135.5,11.8,5,10,2023-12-25T07:10:34,2023-12-25T17:23:04,0.44,Clear,Clear conditions throughout the day.,clear-day,remote
rishikesh,2023-12-26,22.3,11.1,15.4,22.3,11.1,15.4,4,48.5,0,0,0,,0,0,8.6,8.3,92.9,1018.4,59.9,22.2,121.9,10.7,5,10,2023-12-26T07:10:59,2023-12-26T17:23:39,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42111099999,remote,42143099999"
rishikesh,2023-12-27,22.9,9.9,15,22.9,9.9,15,6.2,59,0,0,0,,0,0,6.8,8.3,50.3,1019.7,0.2,16.8,135.8,11.7,5,10,2023-12-27T07:11:23,2023-12-27T17:24:15,0.5,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2023-12-28,21.5,8.5,14,21.5,8.5,14,5.8,60.5,0,0,0,,0,0,8.3,9,93.1,1018.2,7.9,16.8,136.4,11.8,6,10,2023-12-28T07:11:45,2023-12-28T17:24:52,0.54,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2023-12-29,21.9,8.8,14,21.9,8.8,14,5.4,59.4,0,0,0,,0,0,7.2,8.6,70.9,1019,5.6,17.7,137,11.8,6,10,2023-12-29T07:12:06,2023-12-29T17:25:30,0.57,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2023-12-30,21.2,8.6,13.7,21.2,8.6,13.7,4.6,57.8,0,0,0,,0,0,6.8,9.4,71.9,1017.9,49.5,16.6,112.6,9.7,5,10,2023-12-30T07:12:26,2023-12-30T17:26:09,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2023-12-31,21,8,13.2,21,8,13.2,4.5,59.4,0,0,0,,0,0,7.2,8.6,83.2,1017.6,30.1,16.5,137.1,11.8,6,10,2023-12-31T07:12:43,2023-12-31T17:26:50,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-01,20.5,8.5,12.6,20.5,8.5,12.6,4.1,59.8,0,0,0,,0,0,7.9,8.6,205.7,1017.3,0.8,16.5,139.1,12,6,10,2024-01-01T07:13:00,2024-01-01T17:27:31,0.67,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-02,19.6,7.6,11.9,19.6,7.6,11.9,3.2,59.2,0,0,0,,0,0,7.6,9,119.7,1016.9,0,16.6,142.2,12.2,6,10,2024-01-02T07:13:14,2024-01-02T17:28:13,0.7,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-03,20,7.5,11.9,20,7,11.7,0,49.7,0,0,0,,0,0,7.9,8.6,75.8,1017.1,24.2,17.8,144.7,12.6,6,10,2024-01-03T07:13:27,2024-01-03T17:28:57,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-04,20.9,7,12.1,20.9,6.7,11.8,-1,45.8,0,0,0,,0,0,6.1,7.9,49.9,1017,11,17.2,139.9,12.2,6,10,2024-01-04T07:13:39,2024-01-04T17:29:41,0.75,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-05,20.2,7.7,12.1,20.2,6.6,11.8,0.2,48.9,0,0,0,,0,0,7.9,8.3,68.5,1017.1,4.2,16.7,142.7,12.4,6,10,2024-01-05T07:13:49,2024-01-05T17:30:26,0.8,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-06,20.5,7.1,12.1,20.5,6.7,11.8,0.8,50.7,0,0,0,,0,0,7.2,9.4,56.6,1018.8,0,16.7,142.9,12.5,6,10,2024-01-06T07:13:57,2024-01-06T17:31:11,0.83,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-07,20.6,7.5,12.5,20.6,6.9,12.2,1.2,49.8,0,0,0,,0,0,7.6,8.3,81.4,1019.3,0,17.6,142.8,12.3,6,10,2024-01-07T07:14:04,2024-01-07T17:31:58,0.86,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote"
rishikesh,2024-01-08,21.3,8,12.7,21.3,7,12.5,2.1,52.8,0,0,0,,0,0,9.4,9,75,1019.3,3.8,16.6,144.7,12.6,6,10,2024-01-08T07:14:09,2024-01-08T17:32:45,0.9,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-09,21.2,7.1,12.6,21.2,7.1,12.4,1.1,51,0,0,0,,0,0,11.9,11.9,60.2,1018.8,2.5,16.6,144.5,12.6,6,10,2024-01-09T07:14:12,2024-01-09T17:33:33,0.93,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-10,22.2,7.2,12.6,22.2,6.6,12.3,0.4,49.7,0,0,0,,0,0,17.3,13,357.3,1016.8,0,16.7,146.8,12.7,6,10,2024-01-10T07:14:14,2024-01-10T17:34:21,0.96,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-11,19.7,7.8,11.8,19.7,7,11.6,0.7,51.7,0,0,0,,0,0,7.6,8.3,58.8,1017.4,0,16.5,148.8,13,6,10,2024-01-11T07:14:14,2024-01-11T17:35:10,0,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-12,19.7,7.1,11.4,19.7,6.7,11.3,-0.4,49.6,0,0,0,,0,0,7.2,7.9,143.4,1016.8,25.6,16.4,147,12.8,6,10,2024-01-12T07:14:12,2024-01-12T17:36:00,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-13,19.4,7.7,12.3,19.4,7.7,12.2,0.5,49.4,0,0,0,,0,0,5.4,7.6,119.4,1016.4,68.5,16.5,111.3,9.6,4,10,2024-01-13T07:14:09,2024-01-13T17:36:50,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-14,20.8,7.1,12.2,20.8,7.1,11.9,-0.4,47.5,0,0,0,,0,0,10.1,8.3,69.3,1016.4,0,17.5,153,13.2,6,10,2024-01-14T07:14:04,2024-01-14T17:37:40,0.1,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-15,19.8,6.7,11.5,19.8,6.6,11.2,-0.7,48.5,0,0,0,,0,0,9.7,8.6,115.8,1016,0,16.6,152.8,13.2,6,10,2024-01-15T07:13:57,2024-01-15T17:38:31,0.13,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-16,20.8,6.9,11.8,20.8,6.3,11.5,-0.2,49.1,0,0,0,,0,0,14.4,10.4,108.8,1015.1,5.2,16.6,153,13.2,6,10,2024-01-16T07:13:49,2024-01-16T17:39:23,0.17,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-17,20.3,7.1,12,20.3,6.8,11.8,1.6,52.8,0,0,0,,0,0,11.5,8.6,122,1014.8,2,16.8,150.5,13.1,6,10,2024-01-17T07:13:39,2024-01-17T17:40:14,0.2,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-18,20.4,6.8,12.2,20.4,6.8,12,3.7,60,0,0,0,,0,0,11.2,11.5,26.7,1016.2,0.8,16.8,151.9,13.1,6,10,2024-01-18T07:13:27,2024-01-18T17:41:06,0.25,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-19,19,7.3,11,19,6.5,10.6,3.5,63.3,0,0,0,,0,0,7.2,8.6,115.2,1017.8,3.8,16.4,154,13.2,6,10,2024-01-19T07:13:14,2024-01-19T17:41:58,0.27,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-20,17.9,5.6,10.4,17.9,5.6,10.2,3.3,63.7,0,0,0,,0,0,7.9,9,110.8,1018.3,0.6,17.5,154.8,13.3,6,10,2024-01-20T07:12:59,2024-01-20T17:42:50,0.31,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-21,19.4,6.4,10.9,19.4,5.6,10.6,1.9,59.5,0,0,0,,0,0,10.4,10.1,356.7,1017,10.1,16.4,155.9,13.6,6,10,2024-01-21T07:12:42,2024-01-21T17:43:43,0.34,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-22,18.6,6.3,10.4,18.6,6.2,10.1,-0.3,52,0,0,0,,0,0,8.3,9.4,142.7,1018.7,50.1,16.5,144.6,12.5,6,10,2024-01-22T07:12:24,2024-01-22T17:44:35,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-23,19.2,5,10.6,19.2,4.7,10.3,-0.7,50.1,0,0,0,,0,0,8.6,10.1,22.9,1018.4,5.3,16.6,161.3,13.8,6,10,2024-01-23T07:12:04,2024-01-23T17:45:28,0.41,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-24,19.7,5.4,11.2,19.7,5.2,10.7,-1.3,47.2,0,0,0,,0,0,9.7,11.9,60.9,1017.8,5.4,16.7,161.4,13.8,6,10,2024-01-24T07:11:43,2024-01-24T17:46:21,0.45,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-25,19.5,5.7,11.5,19.5,5.4,11.2,-1.6,45.5,0,0,0,,0,0,8.3,9.7,79.6,1019.9,53.2,16.8,152.6,13.2,6,10,2024-01-25T07:11:20,2024-01-25T17:47:13,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-26,20.2,7.2,12.4,20.2,7.2,12.3,-1.4,44.1,0,0,0,,0,0,11.2,9.4,62,1020.4,44.6,16.7,162.3,13.8,6,10,2024-01-26T07:10:55,2024-01-26T17:48:06,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-27,21.1,6.4,12.7,21.1,6.3,12.4,-0.4,45.5,0,0,0,,0,0,15.1,11.2,62.4,1018.5,21.8,16.7,163.8,14.2,6,10,2024-01-27T07:10:29,2024-01-27T17:48:59,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-28,19.5,6.9,12.3,19.5,6.9,12.2,0.3,48.7,0,0,0,,0,0,9,9,101.7,1018.3,58.1,16.6,120.3,10.4,5,10,2024-01-28T07:10:01,2024-01-28T17:49:51,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-29,22,6.9,13.3,22,6.9,13.1,1.9,50.6,0,0,0,,0,0,10.4,10.4,48.9,1017.8,0,16.7,164.4,14.2,6,10,2024-01-29T07:09:32,2024-01-29T17:50:44,0.62,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-30,21,7.3,13.2,21,7.3,13,2.8,53.3,0,0,0,,0,0,7.6,9.7,93.8,1016.5,0,16.7,167.4,14.5,6,10,2024-01-30T07:09:01,2024-01-30T17:51:36,0.65,Clear,Clear conditions throughout the day.,clear-day,"42114099999,42111099999,remote,42143099999"
rishikesh,2024-01-31,21,8.3,13.3,21,7.8,13.1,3.7,56.4,0.1,100,4.17,rain,0,0,9.7,10.1,71.1,1016.1,43.7,16.4,145.4,12.6,6,10,2024-01-31T07:08:29,2024-01-31T17:52:28,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42114099999,42111099999,remote,42143099999"
