name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
imphal,2023-04-01,24,16.3,19.6,24,16.3,19.6,15.8,79.2,3,100,4.17,rain,0,0,14.4,20.5,285.4,1011.3,88.4,11.2,115.6,9.9,5,10,2023-04-01T05:06:34,2023-04-01T17:30:26,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42623099999,VEIM,remote"
imphal,2023-04-02,26,13.7,19.1,26,13.7,19.1,14.9,78.9,8,100,8.33,rain,0,0,37.4,16.6,291.6,1009.8,61.3,11.5,294.6,25.6,9,10,2023-04-02T05:05:33,2023-04-02T17:30:52,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
imphal,2023-04-03,24,12.6,18.1,24,12.6,18.1,14.8,82,3.8,100,8.33,rain,0,0,35.3,13,236.8,1010.7,48.1,11.7,313.7,27.2,10,10,2023-04-03T05:04:32,2023-04-03T17:31:17,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42623099999,VEIM,remote"
imphal,2023-04-04,25,12.7,18.1,25,12.7,18.1,14.8,82.8,5.2,100,8.33,rain,0,0,34.6,11.2,80.9,1011.7,47.6,10.5,261,22.7,9,10,2023-04-04T05:03:32,2023-04-04T17:31:43,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42623099999,VEIM,remote"
imphal,2023-04-05,24.6,13.3,18.9,24.6,13.3,18.9,15.6,83.6,13,100,12.5,rain,0,0,37.8,17.6,204,1011.8,64.4,10.7,289,24.9,10,10,2023-04-05T05:02:32,2023-04-05T17:32:08,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42623099999,VEIM,remote"
imphal,2023-04-06,29.4,14.8,21.5,28.6,14.8,21.4,13.5,64.6,0.4,100,12.5,rain,0,0,30.2,18.4,294.8,1013.5,40.7,11.1,323,27.9,10,10,2023-04-06T05:01:32,2023-04-06T17:32:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
imphal,2023-04-07,31,12.7,21.9,29.7,12.7,21.6,10.1,50.7,0,0,0,,0,0,29.9,20.5,291.7,1014.5,15.9,12.9,329.1,28.5,10,10,2023-04-07T05:00:32,2023-04-07T17:33:00,0.54,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
imphal,2023-04-08,32.1,12.7,22.2,30.6,12.7,21.9,10.3,52.1,0,0,0,,0,0,33.1,14,288,1015.8,14.9,11.9,330.7,28.6,10,10,2023-04-08T04:59:33,2023-04-08T17:33:25,0.57,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
imphal,2023-04-09,32,13.8,23,31,13.8,22.8,10.8,50,0,0,0,,0,0,27.4,16.6,295.9,1015.2,16.7,11.3,327.3,28.4,10,10,2023-04-09T04:58:34,2023-04-09T17:33:51,0.61,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
imphal,2023-04-10,32,14.3,23.6,30.8,14.3,23.3,11,47.7,0,0,0,,0,0,36.4,22.3,307.6,1013.5,19.2,10.7,327,28.4,10,10,2023-04-10T04:57:35,2023-04-10T17:34:17,0.65,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
