name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kakching,2023-04-01,24,15.9,19.4,24,15.9,19.4,16.2,82,3,100,4.17,rain,0,0,22,20.5,268.7,1011.4,87,11,121.5,10.6,6,10,2023-04-01T05:06:29,2023-04-01T17:30:06,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42623099999,VEIM,remote"
kakching,2023-04-02,26,13.2,19.1,26,13.2,19.1,15,79.3,8,100,8.33,rain,0,0,37.4,16.6,278.5,1009.9,56.2,10.6,243.6,21,9,10,2023-04-02T05:05:29,2023-04-02T17:30:31,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
kakching,2023-04-03,24,12.6,17.9,24,12.6,17.9,15,83.7,3.8,100,8.33,rain,0,0,34.2,13,223.1,1010.7,45.8,11.7,288.7,25.1,9,10,2023-04-03T05:04:29,2023-04-03T17:30:56,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42623099999,VEIM,remote"
kakching,2023-04-04,25,12.6,18.1,25,12.6,18.1,15.3,85.5,5.2,100,8.33,rain,0,0,37.4,11.2,186.4,1011.7,45.3,10.5,249.1,21.5,9,10,2023-04-04T05:03:29,2023-04-04T17:31:21,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42623099999,VEIM,remote"
kakching,2023-04-05,23.7,13.6,18.8,23.7,13.6,18.8,15.9,85.3,13,100,12.5,rain,0,0,34.9,14.4,211.7,1012,68.5,10.7,262.1,22.5,10,10,2023-04-05T05:02:29,2023-04-05T17:31:46,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42623099999,VEIM,remote"
kakching,2023-04-06,29.4,14.3,21.5,28.6,14.3,21.4,13.6,65.1,0.2,100,8.33,rain,0,0,29.9,18.4,285.4,1013.4,38.7,10.9,323.7,27.8,10,10,2023-04-06T05:01:30,2023-04-06T17:32:11,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
kakching,2023-04-07,31,12.8,21.8,29.7,12.8,21.5,10.4,52.3,0,0,0,,0,0,29.9,20.5,274.8,1014.5,15.7,12.9,329.6,28.6,10,10,2023-04-07T05:00:31,2023-04-07T17:32:36,0.54,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-08,32,12.4,22.1,30.6,12.4,21.8,9.9,50.6,0,0,0,,0,0,31.3,13,278.6,1015.8,14.8,11.9,330.3,28.6,10,10,2023-04-08T04:59:32,2023-04-08T17:33:01,0.57,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-09,32,13.5,23,31,13.5,22.7,10.6,49.3,0,0,0,,0,0,26.6,16.6,281.9,1015.2,16.8,11.3,328.5,28.5,10,10,2023-04-09T04:58:34,2023-04-09T17:33:27,0.61,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-10,32,14.5,23.6,30.8,14.5,23.3,11.2,48.6,0,0,0,,0,0,33.1,22.3,293.2,1013.5,19.3,10.7,326.9,28.4,10,10,2023-04-10T04:57:36,2023-04-10T17:33:52,0.65,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-11,32,14.5,23.6,30.6,14.5,23.1,9.7,44.9,0,0,0,,0,0,29.9,24.1,283.8,1013,13.2,12.4,332.4,28.8,10,10,2023-04-11T04:56:38,2023-04-11T17:34:18,0.68,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-12,32.2,14.5,23.8,30,14.5,23.2,7,38.5,0,0,0,,0,0,31,24.1,268,1011.9,7.8,11.7,335.9,29,10,10,2023-04-12T04:55:41,2023-04-12T17:34:43,0.72,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-13,32,14.2,23.5,30.5,14.2,23,8.3,41.1,0,0,0,,0,0,29.9,25.9,272.5,1011.4,16.3,10.6,335,28.9,10,10,2023-04-13T04:54:45,2023-04-13T17:35:09,0.75,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-14,34.3,15.5,24.5,31.7,15.5,24.1,9.2,41.5,0,0,0,,0,0,46.4,24.1,273.6,1011.2,16.2,11.5,330.3,28.7,10,10,2023-04-14T04:53:49,2023-04-14T17:35:35,0.79,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-15,34,16.1,24.5,33.3,16.1,24.2,10.4,43.5,0,0,0,,0,0,27.4,16.6,236,1011.2,57.6,11.5,267,23,10,10,2023-04-15T04:52:53,2023-04-15T17:36:01,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42623099999,VEIM,remote"
kakching,2023-04-16,35.2,16.7,25.8,33,16.7,25.3,10.3,41.9,0,0,0,,0,0,32.8,20.5,266.1,1008.7,55.4,12.3,320.6,27.7,10,10,2023-04-16T04:51:58,2023-04-16T17:36:27,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
kakching,2023-04-17,35.3,17.3,26.2,34.9,17.3,25.6,10,40.6,0,0,0,,0,0,37.1,22.7,285.8,1008.5,32.6,17.2,326.4,28.2,10,10,2023-04-17T04:51:04,2023-04-17T17:36:54,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42623099999,remote"
kakching,2023-04-18,33.1,17.9,26.2,34.6,17.9,26.6,15.1,52.1,0,0,0,,0,0,36.7,16.9,280.6,1011.1,31.8,10.6,331.5,28.6,10,10,2023-04-18T04:50:10,2023-04-18T17:37:20,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42623099999,VEIM,remote"
kakching,2023-04-19,35.3,17.9,26.3,33.5,17.9,26,13.1,48.7,0,0,0,,0,0,36.7,23.8,270.1,1007.3,17,13.8,333.2,28.8,10,10,2023-04-19T04:49:17,2023-04-19T17:37:47,0.97,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
kakching,2023-04-20,32,17.2,25.4,33,17.2,25.7,16,59.2,5,100,4.17,rain,0,0,43.6,14.8,262.8,1005.5,32,10.9,333.3,28.7,10,10,2023-04-20T04:48:24,2023-04-20T17:38:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
