name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thoubal,2023-04-01,24,16.3,19.6,24,16.3,19.6,15.8,79.2,3,100,4.17,rain,0,0,14.4,20.5,285.9,1011.3,88.3,11.2,115.6,9.9,5,10,2023-04-01T05:06:22,2023-04-01T17:30:06,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-02,26,13.7,19.1,26,13.7,19.1,14.9,78.9,8,100,8.33,rain,0,0,37.4,16.6,291.8,1009.8,61.2,11.5,294.6,25.6,9,10,2023-04-02T05:05:21,2023-04-02T17:30:31,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-03,24,12.6,18.1,24,12.6,18.1,14.8,82,3.8,100,8.33,rain,0,0,35.3,13,237,1010.7,48.1,11.7,313.7,27.2,10,10,2023-04-03T05:04:21,2023-04-03T17:30:56,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-04,25,12.7,18.1,25,12.7,18.1,14.8,82.8,5.2,100,8.33,rain,0,0,34.6,11.2,81.1,1011.7,47.6,10.5,261,22.7,9,10,2023-04-04T05:03:20,2023-04-04T17:31:21,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-05,24.6,13.3,18.9,24.6,13.3,18.9,15.6,83.6,13,100,12.5,rain,0,0,37.8,17.6,204.2,1011.8,64.4,10.7,289,24.9,10,10,2023-04-05T05:02:21,2023-04-05T17:31:46,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-06,29.4,14.8,21.5,28.6,14.8,21.4,13.5,64.6,0.4,100,12.5,rain,0,0,30.2,18.4,294.8,1013.5,40.7,11.1,323,27.9,10,10,2023-04-06T05:01:21,2023-04-06T17:32:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-07,31,12.7,21.9,29.7,12.7,21.6,10.1,50.8,0,0,0,,0,0,29.9,20.5,291.7,1014.5,15.9,12.9,329.1,28.5,10,10,2023-04-07T05:00:22,2023-04-07T17:32:37,0.54,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
thoubal,2023-04-08,32.1,12.7,22.2,30.6,12.7,21.9,10.3,52.1,0,0,0,,0,0,33.1,14,287.8,1015.8,15,11.9,330.7,28.6,10,10,2023-04-08T04:59:23,2023-04-08T17:33:03,0.57,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
thoubal,2023-04-09,32,13.8,23,31,13.8,22.8,10.8,50,0,0,0,,0,0,27.4,16.6,295.9,1015.2,16.8,11.3,327.3,28.4,10,10,2023-04-09T04:58:24,2023-04-09T17:33:28,0.61,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
thoubal,2023-04-10,32,14.3,23.6,30.8,14.3,23.3,11,47.7,0,0,0,,0,0,36.4,22.3,307.5,1013.5,19.3,10.7,327,28.4,10,10,2023-04-10T04:57:26,2023-04-10T17:33:54,0.65,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
thoubal,2023-04-11,32,14.6,23.7,30.6,14.6,23.3,9.6,44.2,0,0,0,,0,0,31,24.1,291.5,1013.1,13.2,12.4,332.1,28.7,10,10,2023-04-11T04:56:28,2023-04-11T17:34:20,0.68,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
thoubal,2023-04-12,32,14.6,23.9,30,14.6,23.2,6.9,38.1,0,0,0,,0,0,31.7,24.1,276.4,1012,7.8,11.7,335.5,28.9,10,10,2023-04-12T04:55:31,2023-04-12T17:34:46,0.72,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
thoubal,2023-04-13,32,13.9,23.5,30.5,13.9,23,8.2,40.6,0,0,0,,0,0,34.6,25.9,284.9,1011.5,16.3,10.6,334.2,28.9,10,10,2023-04-13T04:54:34,2023-04-13T17:35:12,0.75,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
thoubal,2023-04-14,34.2,15,24.6,31.7,15,24.1,9.2,41.5,0,0,0,,0,0,46.4,24.1,279.8,1011.1,14.9,11.5,329.8,28.7,10,10,2023-04-14T04:53:37,2023-04-14T17:35:38,0.79,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
thoubal,2023-04-15,34,15.8,24.7,33.3,15.8,24.3,10.4,43.1,0,0,0,,0,0,31.3,16.6,254.1,1011.1,55.5,11.5,265.1,22.8,9,10,2023-04-15T04:52:42,2023-04-15T17:36:04,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42623099999,VEIM,remote"
thoubal,2023-04-16,35.3,16.7,25.7,33,16.7,25.3,10.2,41.9,0,0,0,,0,0,29.2,23,274.7,1008.7,55.4,12.3,317.8,27.6,10,10,2023-04-16T04:51:46,2023-04-16T17:36:31,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
thoubal,2023-04-17,35.4,17,26.2,34.9,17,25.7,10.1,40.3,0,0,0,,0,0,36.7,23.4,290,1008.5,33.2,17.2,325.3,28.1,10,10,2023-04-17T04:50:52,2023-04-17T17:36:57,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42623099999,remote"
thoubal,2023-04-18,33.1,17.1,26.3,34.6,17.1,26.6,15.2,52.4,0,0,0,,0,0,37.4,16.6,298.3,1011,31.2,10.6,329.2,28.6,10,10,2023-04-18T04:49:57,2023-04-18T17:37:24,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42623099999,VEIM,remote"
thoubal,2023-04-19,35.6,17.9,26.4,33.5,17.9,26.1,13,47.7,0,0,0,,0,0,35.6,25.9,273.1,1007.3,20.7,13.8,332.3,28.7,10,10,2023-04-19T04:49:04,2023-04-19T17:37:51,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
thoubal,2023-04-20,32,17.3,25.5,33.1,17.3,25.7,15.7,57.3,5,100,4.17,rain,0,0,38.9,14.8,284.6,1005.5,29.5,10.9,332.3,28.7,10,10,2023-04-20T04:48:11,2023-04-20T17:38:18,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-21,33.4,16.7,23,31.3,16.7,22.9,15.1,63.6,3,100,8.33,rain,0,0,47.5,26.3,301.8,1007.1,72.3,10.8,273.7,23.5,10,10,2023-04-21T04:47:19,2023-04-21T17:38:46,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-22,29.1,16.9,23.1,29.2,16.9,23.2,15.4,64.2,0,0,0,,0,0,32.8,16.6,306.1,1008.1,68.4,10.7,303.7,26.4,10,10,2023-04-22T04:46:27,2023-04-22T17:39:13,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
thoubal,2023-04-23,29,15.8,20.8,28.7,15.8,20.8,14.6,70.3,13,100,8.33,rain,0,0,23.4,44.6,115.7,1011.2,56.7,11.2,175.2,15.2,9,10,2023-04-23T04:45:36,2023-04-23T17:39:41,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42623099999,VEIM,remote"
thoubal,2023-04-24,30.1,14.5,22.7,30.5,14.5,22.8,15.5,66.7,0,0,0,,0,0,29.2,14.8,268.6,1013.5,48.4,11.4,327.5,28.1,10,10,2023-04-24T04:44:46,2023-04-24T17:40:08,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
thoubal,2023-04-25,31,16.1,23.9,32.4,16.1,24.2,15.7,62,0,0,0,,0,0,28.1,16.6,251.5,1012.6,21.7,11.8,306.9,26.6,10,10,2023-04-25T04:43:57,2023-04-25T17:40:36,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
thoubal,2023-04-26,31,16.1,23.7,30.7,16.1,23.7,13.8,56.1,0,0,0,,0,0,33.5,24.1,293.2,1011.2,37.1,11,325,28,10,10,2023-04-26T04:43:08,2023-04-26T17:41:05,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
thoubal,2023-04-27,31.1,16.1,24,31.4,16.1,24,13,52.6,0,0,0,,0,0,22,18.4,295.9,1011.3,42.7,11.6,338.3,29.3,10,10,2023-04-27T04:42:21,2023-04-27T17:41:33,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
